,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
25,Kansas,Big 12,23,9,4,8.71,0.34,9.06,50.83,9.25,11.65,5.64,6.38,3.21,8.37,4.32
26,Duke,ACC,,8,5,2.92,6.10,9.02,44.78,3.32,8.53,4.76,6.42,2.82,7.30,3.80
27,Texas A&M,SEC (West),,7,6,4.48,4.49,8.98,49.74,4.43,9.85,5.35,5.20,1.87,7.40,3.57
28,James Madison,Sun Belt (East),,11,2,3.99,4.54,8.53,45.94,7.12,10.00,5.51,5.01,1.51,7.37,3.83
29,Miami (FL),ACC,,7,6,4.64,3.33,7.97,48.16,6.75,9.52,5.48,6.36,2.07,7.87,3.82
30,North Carolina State,ACC,21,9,4,1.77,5.65,7.41,43.25,3.77,8.65,4.94,5.62,2.56,6.89,3.92
31,SMU,American,22,11,3,1.04,6.37,7.41,50.05,5.32,9.37,4.80,5.21,2.53,7.11,3.58
32,Iowa State,Big 12,,7,6,1.84,5.36,7.20,43.29,4.88,10.01,5.01,5.22,2.61,7.50,3.83
33,West Virginia,Big 12,,9,4,5.49,1.54,7.03,47.41,8.75,9.59,5.76,6.46,3.02,7.64,4.34
34,Utah,Pac-12,,8,5,-3.28,10.25,6.97,39.81,-0.15,8.43,4.62,5.47,1.97,6.62,3.36
35,Texas Tech,Big 12,,7,6,2.90,4.04,6.94,44.39,7.11,7.98,4.69,5.61,2.90,6.71,3.80
36,Oklahoma State,Big 12,16,10,4,5.85,0.60,6.45,47.03,10.23,8.55,6.64,6.09,3.18,7.35,4.85
37,Texas Christian,Big 12,,5,7,5.78,0.62,6.40,48.32,8.90,9.27,5.78,5.79,2.98,7.60,4.23
38,UCLA,Pac-12,,8,5,-2.38,8.76,6.37,41.12,1.87,8.95,4.41,5.99,1.65,7.28,3.08
39,Memphis,American,,10,3,11.20,-4.90,6.29,51.90,16.18,9.47,6.49,5.55,3.56,7.59,5.09
40,Iowa,Big Ten (West),24,10,4,-7.03,13.29,6.26,33.32,-2.00,6.71,3.49,4.88,1.76,5.60,2.69
41,North Carolina,ACC,,8,5,7.55,-1.54,6.01,50.75,11.68,10.31,5.69,6.27,2.94,8.13,4.28
42,Virginia Tech,ACC,,7,6,4.05,1.85,5.90,46.77,9.79,9.19,4.82,6.48,3.07,7.56,3.94
43,Wisconsin,Big Ten (West),,7,6,-0.34,6.16,5.82,40.64,4.15,8.10,4.95,5.96,2.68,6.96,3.75
44,Kentucky,SEC (East),,7,6,5.01,0.34,5.35,47.33,9.90,9.47,5.48,6.39,2.12,7.90,3.83
45,Rutgers,Big Ten (East),,7,6,0.50,4.43,4.93,42.68,5.43,8.10,4.62,5.90,2.94,6.72,3.70
46,Boise State,MWC,,8,6,4.22,0.58,4.80,45.22,10.57,9.93,6.11,6.24,2.97,7.69,4.65
47,Washington State,Pac-12,,5,7,4.87,-0.64,4.23,48.48,10.90,9.94,5.24,4.28,3.16,7.56,3.99
48,Auburn,SEC (West),,6,7,-1.93,5.94,4.01,42.06,3.55,8.46,5.00,6.02,3.03,6.93,3.91
49,Tulane,American,,11,3,-1.07,5.06,3.99,37.79,5.46,9.27,5.41,5.06,2.46,6.80,4.00
50,Georgia Tech,ACC,,7,6,6.43,-2.73,3.71,48.07,12.31,9.46,5.52,6.73,4.02,7.86,4.72
51,UTSA,American,,9,4,2.68,0.74,3.42,43.31,11.09,8.38,5.48,5.33,2.70,6.74,4.09
52,Florida,SEC (East),,5,7,4.21,-0.91,3.31,46.49,8.98,10.04,6.14,5.66,3.49,7.67,4.73
53,Air Force,MWC,,9,4,-1.51,4.75,3.25,39.95,7.21,11.89,5.71,5.97,2.27,6.77,3.97
54,Appalachian State,Sun Belt (East),,9,5,7.47,-4.33,3.14,46.31,16.00,9.36,5.48,5.79,3.97,7.37,4.72
55,Northwestern,Big Ten (West),,8,5,0.65,1.88,2.53,40.86,8.99,8.90,5.54,4.40,2.81,6.41,4.02
56,Nevada-Las Vegas,MWC,,9,5,7.07,-4.68,2.39,47.47,16.24,9.74,7.13,5.31,3.38,7.20,5.11
57,UCF,Big 12,,6,7,1.57,0.77,2.34,45.52,8.54,10.50,5.21,6.47,3.51,8.10,4.29
58,South Carolina,SEC (East),,5,7,1.36,0.98,2.33,44.03,7.75,10.17,5.42,4.29,2.44,7.30,3.85
59,Toledo,MAC (West),,11,3,1.91,0.29,2.20,43.03,11.83,9.34,5.61,6.12,3.05,7.41,4.29
60,Nebraska,Big Ten (West),,5,7,-5.93,7.99,2.06,34.82,3.24,8.22,4.68,5.78,2.02,6.68,3.41
61,California,Pac-12,,6,7,5.93,-4.07,1.86,47.33,14.53,8.60,5.52,5.69,2.48,7.05,3.96
62,Miami (OH),MAC (East),,11,3,-4.53,6.28,1.75,35.31,6.37,8.94,5.80,5.18,2.74,6.53,4.20
63,South Alabama,Sun Belt (West),,7,6,-1.20,2.77,1.57,43.89,9.88,9.04,6.27,5.89,2.27,7.33,4.06
64,San Jose State,MWC,,7,6,0.11,1.07,1.18,43.30,10.43,8.82,4.59,6.41,3.35,7.49,3.98
65,Wyoming,MWC,,9,4,-1.87,3.05,1.18,37.81,8.83,8.39,4.76,5.33,3.20,6.50,4.09
66,Colorado,Pac-12,,4,8,6.37,-5.40,0.98,47.22,16.38,9.62,5.79,3.82,3.43,7.05,4.41
67,Coastal Carolina,Sun Belt (East),,8,5,-1.33,2.13,0.80,40.22,11.09,9.75,5.74,5.54,3.58,7.43,4.68
68,Jacksonville State,CUSA,,9,4,-0.60,1.28,0.68,40.37,11.15,7.72,5.80,5.26,2.24,6.20,3.80
69,Arkansas,SEC (West),,4,8,0.81,-0.61,0.20,42.87,11.32,8.66,5.45,4.68,3.22,6.30,4.21
70,Western Kentucky,CUSA,,8,5,3.86,-3.77,0.09,43.11,17.79,8.72,5.35,4.74,4.16,7.00,4.73
71,Minnesota,Big Ten (West),,6,7,-0.43,0.43,-0.01,39.63,12.09,8.01,5.84,5.67,3.54,6.56,4.73
72,Texas State,Sun Belt (West),,8,5,8.00,-8.35,-0.35,47.45,21.66,9.09,6.58,5.55,3.12,7.13,4.70
73,Purdue,Big Ten (West),,4,8,3.70,-4.08,-0.38,44.48,15.31,8.84,6.32,6.04,2.75,7.26,4.48
74,Illinois,Big Ten (West),,5,7,3.82,-4.24,-0.42,43.24,13.90,9.62,5.47,5.47,2.62,7.53,4.03
75,Fresno State,MWC,,9,4,0.29,-0.83,-0.54,40.40,12.64,8.12,5.43,4.36,3.24,6.47,4.33
76,Ohio,MAC (East),,10,3,-5.28,4.62,-0.66,33.64,8.18,7.80,5.86,4.59,2.64,5.96,4.30
77,Mississippi State,SEC (West),,5,7,-4.26,3.48,-0.78,37.88,7.60,7.82,4.89,5.71,2.65,6.63,3.64
78,BYU,Big 12,,5,7,-1.28,0.36,-0.92,39.87,11.99,7.88,5.19,4.62,3.60,6.22,4.42
79,New Mexico State,CUSA,,10,5,-1.87,0.64,-1.23,37.00,11.70,9.45,6.44,6.20,3.77,7.60,5.09
80,Michigan State,Big Ten (East),,4,8,-4.57,3.02,-1.54,36.16,12.08,8.55,6.25,4.47,2.91,6.45,4.46
81,Bowling Green,MAC (East),,7,6,-0.73,-1.32,-2.04,38.38,13.53,8.12,5.89,5.10,3.10,6.40,4.44
82,Indiana,Big Ten (East),,3,9,0.30,-2.78,-2.49,41.12,13.77,8.98,6.22,5.01,3.05,6.79,4.46
83,Louisiana,Sun Belt (West),,6,7,3.65,-6.14,-2.49,42.40,17.64,8.68,6.30,5.93,2.80,7.11,4.29
84,Houston,Big 12,,4,8,-0.29,-2.24,-2.54,40.65,13.32,8.73,6.37,5.05,2.96,6.90,4.48
85,Boston College,ACC,,7,6,2.02,-4.57,-2.55,40.77,14.23,8.31,6.14,6.01,4.03,6.90,5.04
86,Arkansas State,Sun Belt (West),,6,7,-2.87,0.13,-2.74,37.70,16.58,9.00,6.45,5.21,3.56,6.87,4.92
87,Syracuse,ACC,,6,7,-7.34,4.40,-2.93,37.10,10.20,8.50,5.55,5.29,2.55,6.47,4.08
88,Georgia State,Sun Belt (East),,7,6,-0.35,-2.89,-3.24,38.91,16.23,8.61,6.78,5.85,3.10,6.92,4.97
89,Pitt,ACC,,3,9,-4.47,1.19,-3.28,37.34,10.20,9.05,6.12,4.65,2.02,6.77,3.76
90,Wake Forest,ACC,,4,8,-2.48,-0.84,-3.32,37.51,11.05,9.55,6.34,4.69,2.83,6.65,4.47
91,Virginia,ACC,,3,9,0.22,-4.01,-3.78,40.84,15.45,9.47,5.23,4.57,3.42,6.73,4.31
92,Army,Ind,,6,6,-8.22,4.29,-3.94,32.47,9.74,8.63,5.69,5.37,3.69,6.03,4.75
93,Rice,American,,6,7,1.10,-5.04,-3.94,42.55,15.71,8.70,6.24,4.98,3.26,6.88,4.62
94,Arizona State,Pac-12,,3,9,-6.01,2.03,-3.98,34.90,11.55,7.73,5.35,4.90,3.06,6.35,4.08
95,Old Dominion,Sun Belt (East),,6,7,-2.68,-1.69,-4.37,34.88,12.94,8.26,5.64,5.14,2.30,6.42,3.90
96,Stanford,Pac-12,,3,9,-3.02,-1.74,-4.76,37.51,16.35,8.66,5.90,4.76,3.47,6.71,4.50
97,Baylor,Big 12,,3,9,0.09,-4.95,-4.86,40.18,15.67,8.87,6.90,4.54,3.58,6.68,5.04
98,South Florida,American,,7,6,2.65,-7.57,-4.92,43.66,20.79,8.98,7.01,5.06,3.25,6.74,5.16
99,Middle Tennessee State,CUSA,,4,8,-3.45,-2.15,-5.60,36.75,15.97,8.91,5.18,4.59,3.37,6.81,4.33
100,Georgia Southern,Sun Belt (East),,6,7,0.99,-6.71,-5.71,41.84,19.44,8.14,6.61,5.21,3.58,6.87,5.05
101,Navy,American,,5,7,-9.97,4.15,-5.82,29.27,9.08,7.53,6.31,5.12,2.61,5.82,4.47
102,Marshall,Sun Belt (East),,6,7,-2.58,-3.32,-5.91,36.40,15.34,8.27,5.49,5.07,3.20,6.52,4.34
103,Utah State,MWC,,6,7,6.02,-11.99,-5.97,46.24,24.56,8.88,5.50,5.89,4.14,7.19,4.89
104,Cincinnati,Big 12,,3,9,-3.16,-2.85,-6.01,39.96,13.99,8.41,6.25,6.20,4.22,7.10,5.19
105,Northern Illinois,MAC (West),,7,6,-4.52,-2.46,-6.97,34.19,14.18,7.51,5.83,5.80,3.51,6.50,4.64
106,Florida Atlantic,American,,4,8,-5.10,-1.91,-7.01,35.97,14.11,7.54,6.24,4.87,2.95,6.21,4.52
107,North Texas,American,,5,7,5.93,-13.10,-7.17,44.83,25.20,9.04,6.84,5.96,4.96,7.49,5.60
108,Colorado State,MWC,,5,7,-1.47,-5.88,-7.35,36.94,17.18,8.62,6.04,4.07,3.49,6.69,4.69
109,Tulsa,American,,4,8,-4.15,-4.08,-8.23,36.65,20.57,8.69,7.48,5.09,3.80,6.52,5.50
110,Southern Mississippi,Sun Belt (West),,3,9,-2.26,-6.30,-8.56,36.65,22.70,7.78,7.57,5.37,3.88,6.38,5.54
111,San Diego State,MWC,,4,8,-5.83,-2.78,-8.61,33.73,14.89,7.95,5.87,5.14,4.06,6.26,5.08
112,Vanderbilt,SEC (East),,2,10,-1.83,-7.38,-9.20,40.36,18.31,8.55,5.61,4.64,3.91,6.65,4.85
113,East Carolina,American,,2,10,-9.50,0.24,-9.26,31.73,9.93,6.51,6.40,4.69,2.47,5.54,4.31
114,UAB,American,,4,8,1.65,-11.40,-9.75,41.20,23.08,9.17,6.05,5.53,4.15,7.32,5.01
115,Connecticut,Ind,,3,9,-9.56,-0.36,-9.92,30.53,15.77,7.25,6.81,5.12,3.09,6.06,4.90
116,New Mexico,MWC,,4,8,-2.60,-7.37,-9.97,38.07,22.56,8.57,7.51,5.97,4.13,7.09,5.61
117,Sam Houston,CUSA,,3,9,-7.14,-3.02,-10.17,31.05,15.17,7.42,5.93,3.55,3.70,5.58,4.84
118,Ball State,MAC (West),,4,8,-11.49,0.75,-10.74,29.01,13.50,6.40,5.84,5.25,2.59,5.65,4.25
119,Hawaii,MWC,,5,8,-4.87,-5.91,-10.79,33.77,20.17,8.01,6.78,3.74,3.56,6.26,4.97
120,UTEP,CUSA,,3,9,-7.53,-3.56,-11.10,31.32,15.96,9.29,5.46,4.60,4.73,6.59,4.94
121,Louisiana Tech,CUSA,,3,9,-1.83,-9.46,-11.28,37.45,22.19,8.91,5.59,4.58,4.76,6.79,5.04
122,Western Michigan,MAC (West),,4,8,-1.19,-10.27,-11.46,37.84,24.21,7.90,7.39,5.06,3.75,6.27,5.59
123,Buffalo,MAC (East),,3,9,-6.61,-5.71,-12.32,31.80,18.66,6.64,6.04,4.63,4.19,5.56,5.12
124,Massachusetts,Ind,,3,9,-1.35,-11.22,-12.57,37.05,26.67,8.56,7.39,5.32,4.38,6.80,5.75
125,Charlotte,American,,3,9,-9.37,-3.54,-12.91,29.98,15.13,7.11,6.30,4.87,3.65,5.73,4.83
126,Central Michigan,MAC (West),,5,7,-2.60,-10.58,-13.18,35.01,22.25,8.06,7.73,5.22,3.87,6.36,5.72
127,Louisiana-Monroe,Sun Belt (West),,2,10,-8.99,-4.31,-13.30,29.76,20.02,7.24,6.66,5.36,3.04,6.19,4.75
128,Eastern Michigan,MAC (West),,6,7,-9.71,-4.44,-14.16,27.94,18.69,6.31,6.73,4.16,3.97,5.11,5.26
129,Temple,American,,3,9,-7.69,-6.71,-14.40,31.95,22.03,7.69,7.73,4.37,3.65,6.31,5.25
130,Florida International,CUSA,,4,8,-8.31,-6.99,-15.30,29.98,20.93,8.52,6.27,3.31,3.94,5.89,4.97
131,Nevada,MWC,,2,10,-12.92,-2.88,-15.80,26.54,18.47,7.24,7.14,4.03,4.39,5.43,5.57
132,Akron,MAC (East),,2,10,-11.93,-6.71,-18.64,26.25,20.54,6.37,6.18,3.64,3.38,5.14,4.65
133,Kent State,MAC (East),,1,11,-12.52,-9.82,-22.33,27.03,26.99,7.83,7.77,3.78,4.01,5.42,5.61
