,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Michigan,Big Ten (East),1,15,0,8.53,16.48,25.01,55.91,-6.16,11.00,4.11,6.15,1.83,8.03,2.98
2,Texas,Big 12,3,12,2,9.43,10.89,20.32,54.23,-1.29,10.51,4.94,6.21,1.64,8.18,3.57
3,Ohio State,Big Ten (East),10,11,2,4.02,16.23,20.26,49.00,-6.57,10.77,3.31,5.64,2.16,8.07,2.71
4,Georgia,SEC (East),4,13,1,8.61,11.39,20.00,57.42,-2.04,11.31,3.61,6.60,2.40,8.78,3.11
5,Oregon,Pac-12,6,12,2,8.10,11.85,19.94,59.15,-1.82,11.35,4.08,7.03,2.60,9.29,3.32
6,Penn State,Big Ten (East),13,10,3,5.20,13.03,18.23,54.24,-2.47,8.73,4.74,6.10,1.23,7.25,2.81
7,Alabama,SEC (West),5,12,2,8.41,9.75,18.16,52.89,-1.54,11.50,4.08,5.88,2.19,7.88,3.15
8,Washington,Pac-12,2,14,1,13.35,4.54,17.89,55.44,3.83,11.00,4.14,5.85,3.24,8.75,3.76
9,Notre Dame,Ind,14,10,3,7.31,9.48,16.79,56.43,0.72,10.88,3.71,6.73,2.37,8.50,3.04
10,Florida State,ACC,6,13,1,6.24,10.28,16.51,51.34,1.83,9.82,4.09,5.88,2.66,7.71,3.38
11,Missouri,SEC (East),8,11,2,8.13,8.23,16.36,49.69,0.45,11.00,4.44,5.70,2.43,7.92,3.39
12,Oklahoma,Big 12,15,10,3,11.51,4.35,15.86,59.10,4.69,10.93,4.65,5.68,2.42,8.07,3.64
13,Kansas State,Big 12,18,9,4,9.06,6.56,15.63,55.33,3.48,9.07,4.59,6.33,3.45,7.49,4.12
14,LSU,SEC (West),12,10,3,16.27,-1.60,14.66,64.79,11.31,12.71,5.91,7.53,3.26,10.00,4.74
15,Arizona,Pac-12,11,10,3,8.33,5.48,13.80,50.88,4.00,10.69,5.15,5.75,2.69,8.35,3.85
16,Ole Miss,SEC (West),9,11,2,8.19,5.30,13.49,53.00,4.32,11.40,5.23,5.66,2.59,8.06,3.88
17,Tennessee,SEC (East),17,9,4,3.89,6.81,10.69,49.81,3.79,9.77,4.97,6.93,2.18,8.15,3.55
18,Louisville,ACC,19,10,4,3.33,7.09,10.42,47.13,2.77,10.06,5.33,5.95,1.78,7.71,3.59
19,Troy,Sun Belt (West),,11,3,1.77,8.52,10.29,41.50,3.07,9.38,5.16,5.42,1.91,7.27,3.57
20,Clemson,ACC,20,9,4,4.19,5.62,9.82,47.38,3.87,8.16,3.73,5.77,2.34,6.82,3.11
21,Maryland,Big Ten (East),,8,5,7.03,2.71,9.74,48.52,7.87,9.64,5.01,5.19,2.37,7.60,3.69
22,USC,Pac-12,,8,5,16.66,-7.07,9.59,61.00,16.01,11.66,5.62,6.29,3.48,9.18,4.35
23,Oregon State,Pac-12,,8,5,5.14,4.28,9.42,49.48,4.52,10.51,5.12,6.16,2.38,8.13,3.67
24,Liberty,CUSA,25,13,1,9.23,-0.05,9.18,49.89,13.51,11.02,5.73,6.75,3.28,8.20,4.65
