,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
104,Iowa State,Big 12,,2,10,-2.63,-6.01,-8.64,38.59,21.10,7.23,5.75,4.91,4.71,6.16,5.16
105,Hawaii,MWC (West),,4,9,-6.35,-2.73,-9.08,32.09,17.77,6.94,6.71,4.15,3.62,5.48,4.93
106,Akron,MAC (East),,5,7,-9.20,-0.03,-9.23,31.01,15.73,6.46,6.06,4.64,3.58,5.73,4.63
107,Buffalo,MAC (East),,5,6,-0.20,-9.14,-9.34,38.67,25.34,8.29,7.67,4.88,3.97,6.42,5.34
108,San Jose State,MWC (West),,3,9,-8.81,-0.67,-9.49,31.75,19.11,7.69,4.73,4.32,4.42,6.01,4.57
109,Florida Atlantic,CUSA (East),,3,9,-6.06,-3.62,-9.68,34.94,19.41,7.35,5.66,5.20,4.69,6.19,5.15
110,Ohio,MAC (East),,6,6,-9.37,-0.42,-9.79,28.64,15.55,7.24,6.30,4.66,3.32,5.90,4.78
111,Louisiana-Monroe,Sun Belt,,4,8,-9.52,-0.30,-9.82,30.58,13.31,7.56,5.55,2.54,3.59,5.48,4.34
112,South Florida,American,,4,8,-9.83,-1.07,-10.90,28.72,14.82,7.55,6.48,4.31,3.75,5.92,4.82
113,Southern Mississippi,CUSA (West),,3,9,-7.17,-3.74,-10.91,32.63,20.82,7.92,6.32,4.00,4.51,6.14,5.38
114,Tulane,American,,3,9,-11.50,0.12,-11.38,29.26,15.18,6.53,6.17,4.92,3.50,5.73,4.71
115,North Texas,CUSA (West),,4,8,-5.24,-6.67,-11.91,38.83,22.63,7.33,6.41,4.51,3.99,5.71,5.11
116,Massachusetts,MAC (East),,3,9,-2.70,-9.91,-12.61,36.83,25.59,8.43,6.54,4.06,4.24,6.54,5.22
117,Army,Ind,,4,8,-4.11,-8.84,-12.95,34.54,25.02,7.93,6.86,6.00,5.11,6.35,5.99
118,Kent State,MAC (East),,2,9,-12.84,-0.20,-13.04,27.14,18.90,6.79,6.36,4.04,4.05,5.67,4.93
119,Miami (OH),MAC (East),,2,10,-6.00,-7.99,-13.99,32.83,22.90,7.91,6.17,4.21,4.44,6.35,5.14
120,Troy,Sun Belt,,3,9,-8.84,-5.82,-14.67,31.33,25.25,7.71,6.43,4.55,5.10,6.01,5.54
121,Tulsa,American,,2,10,-1.82,-13.41,-15.23,38.84,28.56,7.85,8.03,4.61,4.82,6.22,6.14
122,Connecticut,American,,2,10,-12.13,-3.60,-15.72,27.26,18.99,6.93,5.60,4.15,3.68,5.42,4.50
123,Nevada-Las Vegas,MWC (West),,2,11,-4.53,-11.66,-16.18,34.04,28.40,7.72,7.81,4.35,4.81,6.07,5.92
124,SMU,American,,1,11,-16.87,-1.30,-18.17,24.77,24.82,5.82,7.35,4.37,4.57,5.15,5.54
125,New Mexico State,Sun Belt,,2,10,-6.08,-12.40,-18.48,33.11,29.78,7.14,6.01,4.59,5.62,5.90,5.69
126,Idaho,Sun Belt,,1,10,-4.93,-14.74,-19.67,35.32,28.68,7.92,8.56,3.92,5.00,5.95,6.14
127,Eastern Michigan,MAC (West),,2,10,-14.75,-5.07,-19.82,24.76,29.48,6.40,7.64,4.50,4.58,5.25,5.83
128,Georgia State,Sun Belt,,1,11,-5.55,-14.87,-20.41,33.57,32.69,8.65,6.04,3.58,5.54,6.28,5.80
