,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Oregon,Pac-12 (North),2,13,2,14.36,7.86,22.22,61.16,5.13,11.41,5.10,6.57,3.39,8.58,4.13
2,Ohio State,Big Ten (East),1,14,1,13.44,7.00,20.44,62.75,5.78,10.71,4.44,6.98,2.61,8.38,3.52
3,Alabama,SEC (West),4,12,2,9.46,10.88,20.34,57.12,-0.11,10.71,4.50,6.35,1.96,8.23,3.40
4,Texas Christian,Big 12,3,12,1,11.20,7.76,18.96,61.91,4.27,9.52,5.31,6.22,1.96,7.88,3.51
5,Georgia,SEC (East),9,10,3,10.88,7.96,18.84,59.13,3.93,9.85,4.09,7.30,3.12,8.27,3.60
6,Ole Miss,SEC (West),17,9,4,0.87,15.93,16.80,47.62,-4.36,9.79,4.17,5.63,2.19,7.51,3.13
7,Michigan State,Big Ten (East),5,11,2,9.76,6.31,16.07,56.98,6.56,10.02,5.23,6.16,2.02,7.73,3.85
8,Georgia Tech,ACC (Coastal),8,11,3,13.44,2.48,15.92,55.23,9.17,10.98,6.13,7.24,3.80,8.10,4.96
9,Mississippi State,SEC (West),11,10,3,8.49,6.55,15.04,55.06,4.93,10.35,5.02,6.32,3.08,8.02,4.27
10,Auburn,SEC (West),22,8,5,11.92,3.07,14.99,56.34,6.61,11.13,4.96,6.77,3.07,8.31,3.96
11,Baylor,Big 12,7,11,2,13.69,1.28,14.97,62.06,10.54,10.45,6.14,5.47,2.31,7.75,4.13
12,Arkansas,SEC (West),,7,6,4.30,10.62,14.91,51.57,-0.01,8.85,4.80,6.30,2.03,7.31,3.48
13,Florida State,ACC (Atlantic),5,13,1,10.59,3.90,14.48,52.00,9.91,9.98,5.53,5.74,3.25,7.96,4.28
14,UCLA,Pac-12 (South),10,10,3,11.01,3.39,14.40,53.08,8.68,9.58,4.72,6.23,3.03,7.69,3.89
15,USC,Pac-12 (South),20,9,4,7.74,6.65,14.39,51.31,6.26,9.86,4.91,5.07,2.94,7.29,3.91
16,Arizona State,Pac-12 (South),12,10,3,10.24,3.02,13.26,52.01,11.48,9.12,6.07,5.19,3.19,7.05,4.39
17,Kansas State,Big 12,18,9,4,6.32,6.42,12.73,51.21,5.43,10.52,5.10,4.65,3.02,7.39,4.08
18,Wisconsin,Big Ten (West),13,11,3,3.21,9.49,12.70,49.61,6.05,8.06,5.29,7.79,2.56,8.00,3.75
19,Marshall,CUSA (East),23,13,1,9.23,3.33,12.55,54.77,11.22,9.23,4.98,7.42,3.42,8.26,4.04
20,Stanford,Pac-12 (North),,8,5,-2.79,15.21,12.42,40.91,-2.27,9.15,3.51,5.28,2.29,6.97,2.80
21,Missouri,SEC (East),14,11,3,2.51,9.51,12.02,44.70,3.23,8.10,4.69,5.80,2.25,6.76,3.45
22,Arizona,Pac-12 (South),19,10,4,6.51,5.39,11.90,49.37,8.71,8.29,5.54,5.40,3.32,6.80,4.29
23,Clemson,ACC (Atlantic),15,10,3,-1.31,12.94,11.63,45.25,0.30,8.97,3.58,4.45,1.86,6.49,2.67
24,LSU,SEC (West),,8,5,-1.43,12.18,10.75,46.00,-0.92,9.57,3.64,5.91,3.12,7.08,3.33
25,Boise State,MWC (Mountain),16,12,2,11.44,-0.86,10.58,53.73,15.47,9.67,5.61,5.76,2.93,7.42,4.32
26,Louisville,ACC (Atlantic),24,9,4,5.74,4.79,10.52,48.48,7.58,9.42,4.93,4.98,2.49,7.01,3.68
27,Nebraska,Big Ten (West),,9,4,9.43,0.83,10.26,52.95,12.78,9.05,4.85,6.32,3.67,7.40,4.24
28,Oklahoma,Big 12,,8,5,5.98,4.23,10.21,52.96,7.88,8.50,5.33,7.27,2.39,7.80,3.93
29,Texas A&M,SEC (West),,8,5,7.38,2.58,9.96,54.86,11.77,9.54,5.15,5.85,4.05,7.78,4.56
30,Utah,Pac-12 (South),21,9,4,4.76,5.08,9.84,47.17,8.08,8.28,5.41,5.37,3.02,6.56,3.97
31,Notre Dame,Ind,,8,5,8.86,-0.30,8.56,51.33,13.76,9.77,5.71,5.62,3.30,7.66,4.41
32,Tennessee,SEC (East),,7,6,3.72,4.42,8.13,47.22,7.00,8.28,5.12,4.96,3.02,6.47,3.92
33,Florida,SEC (East),,7,5,0.92,7.21,8.12,46.71,4.54,8.32,4.34,5.44,2.07,6.57,3.21
34,West Virginia,Big 12,,7,6,6.18,1.89,8.07,49.34,8.69,9.30,4.76,5.34,3.36,7.22,3.97
35,Miami (FL),ACC (Coastal),,6,7,1.26,6.78,8.04,43.95,6.00,9.60,4.57,6.08,2.45,7.72,3.40
36,Memphis,American,25,10,3,3.75,3.46,7.22,48.99,9.85,8.38,5.23,4.98,2.83,6.43,4.02
37,Minnesota,Big Ten (West),,8,5,3.41,3.32,6.74,44.51,8.84,8.90,5.04,5.92,3.58,6.88,4.24
38,Virginia Tech,ACC (Coastal),,7,6,-1.93,8.64,6.71,38.72,3.18,7.47,5.00,4.82,2.78,6.04,3.80
39,South Carolina,SEC (East),,7,6,9.39,-2.69,6.70,50.68,13.61,9.81,5.76,5.72,4.32,7.71,4.93
40,Duke,ACC (Coastal),,9,4,3.59,3.05,6.64,46.74,10.50,7.16,5.27,5.70,3.83,6.44,4.47
41,Washington,Pac-12 (North),,8,6,1.73,4.80,6.52,42.78,8.72,8.29,5.80,5.10,2.82,6.40,4.17
42,Boston College,ACC (Atlantic),,7,6,2.16,3.89,6.04,42.99,8.28,8.63,5.63,6.45,2.59,7.14,4.12
43,Colorado State,MWC (Mountain),,10,3,4.02,1.44,5.47,44.66,14.40,10.26,5.75,5.32,4.14,7.79,4.98
44,Louisiana Tech,CUSA (West),,9,5,2.56,2.90,5.46,48.16,10.98,8.32,5.12,4.92,2.41,6.61,3.84
45,Virginia,ACC (Coastal),,5,7,-0.62,5.46,4.83,41.30,7.36,7.99,5.44,4.71,2.27,6.29,3.82
46,BYU,Ind,,8,5,5.58,-1.20,4.38,50.20,15.49,8.78,5.45,5.21,2.73,6.82,4.19
47,North Carolina State,ACC (Atlantic),,8,5,1.57,2.61,4.17,44.92,13.43,8.22,5.05,6.36,3.44,7.18,4.15
48,Texas,Big 12,,6,7,-4.98,8.96,3.98,37.63,3.53,7.78,3.86,5.00,2.83,6.24,3.22
49,Utah State,MWC (Mountain),,10,4,-2.91,6.54,3.63,37.02,8.99,8.06,5.32,5.42,2.82,6.58,4.05
50,Rutgers,Big Ten (East),,8,5,1.10,2.09,3.19,41.27,13.77,9.78,6.13,5.57,4.30,7.30,5.03
51,Pitt,ACC (Coastal),,6,7,3.85,-1.11,2.74,48.11,14.27,9.14,6.02,6.49,3.63,7.41,4.73
52,California,Pac-12 (North),,5,7,12.70,-10.15,2.55,54.48,22.53,9.45,6.49,5.15,3.36,7.42,5.03
53,Penn State,Big Ten (East),,7,6,-5.05,7.51,2.46,36.51,4.74,7.62,4.44,4.15,2.00,5.94,3.14
54,Cincinnati,American,,9,4,5.37,-2.95,2.42,48.74,16.75,9.37,6.54,5.58,4.06,7.54,5.15
55,East Carolina,American,,8,5,5.40,-3.06,2.35,48.10,16.72,8.54,5.97,5.57,2.97,7.37,4.52
56,Air Force,MWC (Mountain),,10,3,1.21,0.99,2.20,40.21,14.32,10.00,6.46,4.69,2.92,5.90,4.72
57,Navy,Ind,,8,5,3.34,-1.15,2.19,44.06,14.80,9.27,5.60,6.69,3.96,7.23,4.74
58,Western Kentucky,CUSA (East),,8,5,14.05,-12.06,1.99,55.16,28.01,9.69,7.83,5.45,4.04,7.83,5.72
59,UCF,American,,9,4,-0.92,2.89,1.98,40.90,10.88,8.51,5.33,4.15,2.68,6.10,3.91
60,Georgia Southern,Sun Belt,,9,3,1.62,0.28,1.89,46.82,14.21,9.22,5.69,7.18,3.74,7.88,4.72
61,Michigan,Big Ten (East),,5,7,-5.47,7.29,1.82,36.81,5.78,7.98,5.20,5.72,2.10,6.69,3.46
62,Maryland,Big Ten (East),,7,6,4.25,-2.67,1.58,46.74,16.67,8.58,5.31,5.11,3.30,6.81,4.19
63,Kentucky,SEC (East),,5,7,3.24,-1.68,1.55,47.83,16.41,8.74,5.36,5.38,3.70,6.94,4.39
64,Iowa,Big Ten (West),,7,6,-0.41,1.79,1.37,41.40,11.97,8.48,5.73,4.89,3.24,6.55,4.30
65,Oklahoma State,Big 12,,7,6,2.13,-1.03,1.10,43.65,14.63,9.34,6.18,4.64,3.24,6.72,4.55
66,Houston,American,,8,5,-0.88,1.73,0.85,40.69,11.82,7.36,5.68,5.56,3.38,6.47,4.36
67,Northwestern,Big Ten (West),,5,7,-3.03,3.83,0.80,37.56,10.64,7.15,5.32,4.53,3.14,5.79,4.10
68,North Carolina,ACC (Coastal),,6,7,10.00,-9.86,0.14,50.47,23.92,8.70,7.03,5.15,4.04,6.90,5.24
69,Rice,CUSA (West),,8,5,-0.04,-0.24,-0.28,40.11,16.56,9.42,6.46,4.46,3.65,6.40,4.95
70,UAB,CUSA (East),,6,6,3.05,-3.35,-0.30,44.75,16.22,9.15,6.03,4.86,3.65,6.35,4.68
71,Nevada,MWC (West),,7,6,0.61,-0.99,-0.38,40.09,15.47,6.97,5.77,5.57,4.33,6.13,5.01
72,Northern Illinois,MAC (West),,11,3,-0.13,-0.94,-1.06,40.97,17.32,7.73,6.29,5.73,3.65,6.45,4.80
73,Oregon State,Pac-12 (North),,5,7,0.11,-1.53,-1.42,41.07,15.40,8.37,5.33,4.84,4.02,6.77,4.59
74,Washington State,Pac-12 (North),,3,9,6.86,-8.40,-1.54,48.50,21.22,8.94,6.56,2.94,3.19,7.35,4.90
75,Louisiana,Sun Belt,,9,4,-1.60,0.03,-1.57,39.35,15.35,8.03,6.78,5.76,3.68,6.75,5.14
76,Toledo,MAC (West),,9,4,5.09,-6.88,-1.79,44.99,21.50,8.45,7.11,6.23,3.03,7.17,5.13
77,Western Michigan,MAC (West),,8,5,0.69,-2.48,-1.79,42.31,17.93,9.90,6.28,5.06,3.82,7.11,5.02
78,San Diego State,MWC (West),,7,6,-7.67,5.57,-2.10,32.87,9.21,7.16,5.55,5.74,3.18,6.39,4.20
79,Temple,American,,6,6,-8.65,6.42,-2.23,35.45,7.15,7.10,5.27,4.45,3.26,5.83,4.05
80,Illinois,Big Ten (West),,6,7,0.75,-3.28,-2.53,41.13,17.98,8.44,6.46,4.88,3.96,6.74,4.88
81,UTEP,CUSA (West),,7,6,-4.82,1.64,-3.18,35.76,15.29,7.25,6.44,5.30,4.56,5.98,5.25
82,Middle Tennessee State,CUSA (East),,6,6,0.64,-4.15,-3.52,42.25,17.83,8.59,6.49,5.44,3.59,6.72,4.92
83,Texas Tech,Big 12,,4,8,6.75,-10.31,-3.56,47.69,24.20,9.10,6.33,6.32,4.32,7.93,5.06
84,Colorado,Pac-12 (South),,2,10,2.91,-6.54,-3.63,44.24,20.32,7.66,5.61,5.12,4.84,6.47,5.15
85,Arkansas State,Sun Belt,,7,6,3.01,-6.97,-3.96,46.32,21.31,8.51,5.94,5.39,4.29,6.81,4.87
86,Syracuse,ACC (Atlantic),,3,9,-8.71,3.88,-4.84,32.65,9.35,7.37,5.83,5.29,2.62,6.25,3.89
87,Indiana,Big Ten (East),,4,8,-0.32,-5.00,-5.32,40.18,18.70,6.99,5.66,7.14,3.96,7.08,4.84
88,Fresno State,MWC (West),,6,8,-2.71,-2.81,-5.52,37.91,20.14,6.96,7.66,5.12,3.79,6.00,5.35
89,Central Michigan,MAC (West),,7,6,-4.45,-1.39,-5.84,34.80,17.07,8.77,6.45,4.58,3.17,6.42,4.77
90,Old Dominion,CUSA (East),,6,6,5.37,-11.46,-6.10,42.76,26.79,8.53,7.32,5.54,4.12,7.21,5.32
91,Purdue,Big Ten (West),,3,9,-2.50,-3.83,-6.33,38.08,16.71,6.53,5.43,5.71,3.41,6.08,4.30
92,Texas State,Sun Belt,,7,5,-1.76,-4.67,-6.43,40.71,18.74,7.73,6.05,5.38,4.25,6.47,4.96
93,Appalachian State,Sun Belt,,7,5,-1.16,-5.41,-6.56,43.44,20.73,8.48,5.78,5.65,4.01,6.85,4.69
94,Bowling Green,MAC (East),,8,6,-0.59,-6.07,-6.66,38.98,24.14,7.28,6.25,5.03,4.18,6.17,5.12
95,Wyoming,MWC (Mountain),,4,8,-5.44,-1.26,-6.69,33.25,19.80,8.34,6.90,4.83,4.32,6.38,5.46
96,Kansas,Big 12,,3,9,-8.27,1.42,-6.86,33.28,15.48,7.95,5.70,4.25,4.45,5.88,4.96
97,Florida International,CUSA (East),,4,8,-7.40,0.44,-6.95,32.89,13.31,7.11,6.06,3.75,3.35,5.12,4.53
98,Vanderbilt,SEC (East),,3,9,-6.74,-0.23,-6.97,34.21,16.52,7.72,5.97,4.53,3.43,6.05,4.40
99,South Alabama,Sun Belt,,6,7,-8.40,0.77,-7.63,31.54,13.88,7.14,5.83,4.51,3.57,5.72,4.48
100,Wake Forest,ACC (Atlantic),,3,9,-8.50,0.86,-7.64,31.79,14.69,7.13,5.38,2.44,3.62,4.76,4.31
101,New Mexico,MWC (Mountain),,4,8,0.78,-8.58,-7.80,39.42,25.83,7.88,7.25,7.04,5.19,7.27,6.03
102,Ball State,MAC (West),,5,7,-3.14,-5.22,-8.35,34.26,20.01,6.82,6.36,4.58,4.29,5.63,5.25
103,UTSA,CUSA (West),,4,8,-11.19,2.57,-8.62,28.21,13.45,6.76,6.30,3.89,2.98,5.19,4.43
