,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
49,LSU,SEC (West),,6,7,3.07,1.67,4.74,44.31,9.05,9.29,5.35,4.86,2.56,6.95,3.97
50,Florida,SEC (East),,6,7,4.82,-0.46,4.37,46.67,10.74,9.83,5.00,6.79,3.19,8.05,4.11
51,Oregon State,Pac-12 (North),,7,6,4.43,-0.27,4.16,45.99,12.53,9.96,5.83,6.22,3.38,7.67,4.57
52,Louisville,ACC (Atlantic),,6,7,4.42,-0.38,4.03,47.81,11.38,10.25,5.76,6.58,2.97,8.04,4.51
53,Coastal Carolina,Sun Belt (East),,11,2,4.16,-0.18,3.98,47.35,13.65,11.32,6.37,6.25,3.60,8.21,4.85
54,UAB,CUSA (West),,9,4,1.23,2.75,3.98,42.49,10.59,10.96,5.39,5.64,2.34,7.48,3.92
55,Liberty,Ind,,8,5,1.75,2.04,3.80,45.16,10.77,9.89,5.42,5.57,2.72,7.38,4.07
56,North Carolina,ACC (Coastal),,6,7,8.34,-4.57,3.77,50.12,15.71,10.16,6.54,6.56,3.68,8.03,4.87
57,Nevada,MWC (West),,8,5,6.52,-3.05,3.47,48.62,15.89,9.18,4.94,3.96,4.09,7.06,4.73
58,Maryland,Big Ten (East),,7,6,3.12,0.32,3.44,48.05,14.88,10.13,6.29,5.63,2.78,7.88,4.50
59,UCF,American,,9,4,1.18,1.90,3.07,43.80,11.54,8.35,4.43,6.33,3.39,7.10,4.08
60,Washington State,Pac-12 (North),,7,6,1.60,1.45,3.05,42.05,10.69,9.03,4.87,4.90,3.66,6.98,4.32
61,Texas Tech,Big 12,,7,6,4.84,-2.27,2.57,45.66,13.98,10.10,5.76,6.15,2.67,7.90,4.30
62,Marshall,CUSA (East),,7,6,1.55,0.82,2.37,44.53,12.05,9.12,4.87,5.46,3.60,7.24,4.21
63,Virginia,ACC (Coastal),,6,6,5.39,-3.15,2.24,49.03,14.63,9.82,5.97,5.50,4.57,8.09,5.23
64,Illinois,Big Ten (West),,5,7,-2.69,4.88,2.20,39.13,5.63,7.56,5.17,5.85,2.76,6.47,3.83
65,South Carolina,SEC (East),,7,6,-2.21,4.29,2.08,39.58,7.44,9.14,5.38,5.13,3.11,6.78,4.13
66,East Carolina,American,,7,5,3.58,-1.66,1.92,43.13,13.26,9.51,5.96,5.07,3.74,7.05,4.99
67,West Virginia,Big 12,,6,7,-2.25,3.79,1.54,41.58,6.89,8.81,5.44,4.98,2.29,6.77,3.89
68,Central Michigan,MAC (West),,9,4,1.88,-0.53,1.35,41.69,13.94,8.82,6.63,5.00,2.53,6.70,4.51
69,Western Michigan,MAC (West),,8,5,2.94,-1.86,1.08,42.98,14.83,10.12,6.28,5.44,3.82,7.19,4.88
70,Florida State,ACC (Atlantic),,5,7,0.34,0.30,0.64,42.78,10.17,8.78,5.58,5.93,2.30,7.09,3.83
71,Missouri,SEC (East),,6,7,6.04,-5.66,0.37,46.56,18.47,8.46,6.21,6.38,3.83,7.30,5.02
72,Toledo,MAC (West),,7,6,-0.09,0.36,0.28,41.92,12.25,8.90,5.43,5.85,3.25,7.20,4.24
