,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
14,Utah,Pac-12 (South),16,11,3,1.16,13.70,14.86,47.40,-1.16,11.81,3.92,6.01,1.96,7.89,3.11
15,Iowa,Big Ten (West),15,10,3,0.60,14.00,14.60,44.55,-4.12,9.42,3.90,5.58,2.16,7.27,3.20
16,Memphis,American (West),17,12,2,13.46,0.20,13.66,56.33,11.42,11.47,4.64,6.28,2.95,8.38,4.00
17,Navy,American (West),20,11,2,7.13,5.47,12.60,51.42,7.23,14.09,5.48,7.15,1.86,8.04,3.92
18,Washington,Pac-12 (North),,8,5,4.24,8.14,12.38,47.23,2.94,9.76,4.06,5.47,2.73,7.23,3.49
19,Texas,Big 12,25,8,5,10.76,1.42,12.18,54.51,8.50,10.08,5.53,6.57,2.59,8.16,4.27
20,Baylor,Big 12,13,11,3,4.33,7.79,12.12,50.26,2.77,9.75,4.25,6.11,2.06,7.68,3.19
21,Minnesota,Big Ten (West),10,11,2,9.23,2.50,11.73,52.38,7.35,12.36,5.43,5.73,2.26,8.06,3.85
22,UCF,American (East),24,10,3,11.48,0.11,11.59,57.55,11.69,11.00,4.33,6.46,2.51,8.28,3.45
23,Appalachian State,Sun Belt (East),19,13,1,6.97,4.52,11.49,49.62,8.22,8.59,5.27,6.44,2.29,7.29,3.80
24,Cincinnati,American (East),21,11,3,1.13,9.73,10.87,43.87,3.10,8.87,4.54,6.05,2.26,6.96,3.55
25,Air Force,MWC (Mountain),22,11,2,3.58,6.89,10.47,45.22,6.20,14.42,5.39,6.24,2.18,7.30,4.05
26,Texas A&M,SEC (West),,8,5,3.06,6.95,10.02,48.63,3.55,8.86,4.48,6.69,2.15,7.69,3.36
27,SMU,American (West),,10,3,14.74,-5.72,9.02,55.85,18.10,10.13,5.63,5.69,2.75,7.61,4.41
28,Boise State,MWC (Mountain),23,12,2,4.18,4.76,8.94,46.10,9.21,9.65,4.81,5.48,2.28,7.20,3.83
29,USC,Pac-12 (South),,8,5,10.40,-1.53,8.87,52.49,13.39,11.00,4.63,5.56,3.25,8.30,4.15
30,Louisiana,Sun Belt (West),,11,3,2.45,6.23,8.68,48.17,7.65,8.95,5.65,7.42,3.34,8.04,4.38
31,Florida Atlantic,CUSA (East),,11,3,4.52,3.76,8.28,48.27,9.26,9.34,5.28,5.38,2.75,7.18,4.15
32,Iowa State,Big 12,,7,6,6.42,1.49,7.92,49.78,7.93,10.35,4.85,5.65,2.34,8.04,3.65
33,Oklahoma State,Big 12,,8,5,5.82,1.56,7.39,49.40,8.87,10.02,5.43,6.87,2.89,8.01,4.17
34,Kansas State,Big 12,,8,5,1.19,5.84,7.02,45.23,4.19,9.32,5.33,5.90,3.42,7.04,4.49
35,North Carolina,ACC (Coastal),,7,6,5.95,0.43,6.38,49.70,9.63,10.78,5.78,6.38,2.75,8.25,4.24
36,Virginia,ACC (Coastal),,9,5,5.89,0.40,6.29,48.76,12.42,9.24,6.11,5.46,2.68,7.39,4.31
37,Michigan State,Big Ten (East),,7,6,-0.23,6.29,6.06,42.68,3.83,9.12,4.70,5.45,1.91,7.13,3.46
38,Kentucky,SEC (East),,8,5,-0.26,6.18,5.92,42.98,4.66,7.25,4.43,7.80,3.10,7.61,3.80
39,Indiana,Big Ten (East),,8,5,3.73,2.06,5.79,48.95,8.58,10.34,5.41,5.25,2.60,7.67,4.03
40,Texas Christian,Big 12,,5,7,2.67,2.59,5.27,46.26,7.57,7.88,4.44,6.28,2.72,6.84,3.53
41,Tennessee,SEC (East),,8,5,-0.20,5.33,5.13,42.17,5.48,9.83,4.98,5.68,2.01,7.44,3.32
42,Mississippi State,SEC (West),,6,7,3.51,1.37,4.87,46.75,9.62,9.51,6.51,7.03,2.41,7.89,4.33
43,Arizona State,Pac-12 (South),,8,5,-0.21,4.93,4.72,39.93,6.03,10.34,5.29,4.86,2.40,7.14,3.97
44,Tulane,American (West),,7,6,2.61,1.37,3.98,47.04,10.38,10.03,4.46,6.53,3.12,7.62,4.16
45,Washington State,Pac-12 (North),,6,7,9.65,-5.79,3.86,54.20,17.20,10.04,6.35,5.57,3.78,8.56,5.31
46,California,Pac-12 (North),,8,5,-3.76,7.15,3.39,37.13,5.01,8.94,4.89,4.97,2.44,6.52,3.79
47,Virginia Tech,ACC (Coastal),,8,5,3.48,-0.11,3.37,45.07,12.72,10.35,5.46,5.40,2.91,7.15,4.23
48,Wake Forest,ACC (Atlantic),,8,5,4.75,-1.52,3.23,46.56,14.40,9.84,5.75,5.33,2.92,7.20,4.42
49,Louisville,ACC (Atlantic),,8,5,8.44,-5.34,3.09,50.19,17.80,12.12,5.94,6.52,3.86,8.36,4.84
50,Missouri,SEC (East),,6,6,-2.29,5.17,2.88,42.71,5.83,8.80,5.02,5.54,2.19,6.89,3.47
51,Nebraska,Big Ten (West),,5,7,2.91,-0.25,2.67,47.63,10.57,10.07,4.70,6.19,3.53,7.55,4.19
52,Ole Miss,SEC (West),,4,8,1.16,1.07,2.24,43.80,8.31,9.17,5.78,6.92,2.27,7.72,4.14
53,Oregon State,Pac-12 (North),,5,7,6.03,-4.02,2.01,47.82,16.26,9.31,5.67,5.92,3.14,7.37,4.42
54,Miami (FL),ACC (Coastal),,6,7,-3.58,5.55,1.97,39.64,6.26,9.16,4.89,5.16,2.04,7.12,3.39
55,Florida State,ACC (Atlantic),,6,7,2.21,-0.43,1.78,43.33,11.47,9.81,5.07,5.30,2.19,7.30,3.70
56,San Diego State,MWC (West),,10,3,-10.00,11.69,1.69,29.21,1.76,8.12,4.81,4.25,1.72,5.73,3.48
57,Buffalo,MAC (East),,8,5,-0.11,1.54,1.44,40.16,11.78,7.18,6.08,5.81,2.04,6.20,3.92
58,South Carolina,SEC (East),,4,8,-0.86,2.20,1.34,44.31,6.89,8.03,5.02,6.49,2.25,7.21,3.58
59,Wyoming,MWC (Mountain),,8,5,-3.26,4.60,1.33,36.79,8.04,8.43,5.60,6.14,2.14,6.72,4.16
60,Temple,American (East),,8,5,-2.23,3.45,1.22,38.92,10.60,8.86,4.47,4.98,2.39,6.71,3.54
61,BYU,Ind,,7,6,1.50,-0.65,0.85,41.22,13.20,9.73,5.66,5.61,3.23,7.50,4.37
62,Pitt,ACC (Coastal),,8,5,-4.49,5.09,0.60,34.92,6.49,8.19,4.24,4.87,1.69,6.56,3.05
63,Tulsa,American (West),,4,8,0.92,-0.49,0.43,42.59,12.15,9.78,4.65,4.85,2.83,6.85,3.87
64,Western Kentucky,CUSA (East),,9,4,-2.90,3.20,0.31,36.44,9.50,8.47,5.57,4.70,2.61,6.58,4.11
65,Hawaii,MWC (West),,10,5,6.07,-5.88,0.19,46.76,20.10,9.75,5.10,6.10,4.59,7.99,5.17
66,Duke,ACC (Coastal),,5,7,-1.52,1.63,0.11,41.03,13.17,7.65,4.66,5.10,3.10,6.10,3.77
67,Colorado,Pac-12 (South),,5,7,-0.09,0.07,-0.02,41.03,13.58,9.21,5.45,5.59,3.27,7.06,4.71
68,Georgia Southern,Sun Belt (East),,7,6,-1.53,1.46,-0.07,37.95,13.08,7.25,6.27,5.88,2.42,6.14,4.24
69,Illinois,Big Ten (West),,6,7,2.21,-2.29,-0.08,44.66,13.19,8.67,6.11,5.40,3.46,6.68,4.49
70,Boston College,ACC (Atlantic),,6,7,3.29,-3.66,-0.37,44.92,17.68,9.65,6.36,6.59,3.45,7.51,4.97
71,Houston,American (West),,4,8,3.31,-3.72,-0.41,43.85,14.62,9.83,5.63,6.18,3.73,7.44,5.01
72,Purdue,Big Ten (West),,4,8,4.13,-4.65,-0.52,45.72,13.55,9.34,5.96,4.62,3.23,7.28,4.62
73,Marshall,CUSA (East),,8,5,-1.46,0.92,-0.54,38.69,13.08,8.85,5.91,5.87,3.04,6.96,4.48
74,UCLA,Pac-12 (South),,4,8,3.38,-3.93,-0.55,45.12,18.13,9.40,6.67,5.27,3.02,6.92,4.99
75,Texas Tech,Big 12,,4,8,2.01,-2.66,-0.65,45.68,13.98,9.15,7.21,5.74,2.96,7.51,5.01
76,Louisiana Tech,CUSA (West),,10,3,-0.46,-0.59,-1.05,40.00,14.64,8.52,5.85,5.24,3.18,6.77,4.58
77,Western Michigan,MAC (West),,7,6,0.16,-1.93,-1.77,42.14,15.63,8.44,6.11,6.09,3.81,7.09,4.94
78,Arkansas State,Sun Belt (West),,8,5,5.03,-6.81,-1.78,43.72,22.29,9.69,6.49,4.59,3.72,7.15,5.03
79,Utah State,MWC (Mountain),,7,6,0.97,-2.89,-1.93,42.68,17.99,8.81,5.44,5.89,3.25,7.18,4.36
80,Stanford,Pac-12 (North),,4,8,-2.36,-0.02,-2.38,39.28,10.75,9.56,5.99,5.16,3.09,7.29,4.63
81,Ohio,MAC (East),,7,6,3.68,-6.38,-2.70,44.48,18.68,9.65,6.70,6.42,3.93,7.67,5.31
82,Syracuse,ACC (Atlantic),,5,7,-0.75,-2.03,-2.79,42.01,16.19,8.89,5.80,5.06,3.51,6.66,4.69
83,Southern Mississippi,CUSA (West),,7,6,-2.65,-0.25,-2.90,38.20,14.04,9.95,6.89,4.59,2.42,7.14,4.52
84,West Virginia,Big 12,,5,7,-3.55,0.62,-2.92,37.77,11.26,8.49,5.86,4.19,2.21,6.50,3.83
85,Central Michigan,MAC (West),,8,6,0.83,-3.82,-2.98,41.32,20.21,8.70,6.81,5.89,2.77,7.18,4.75
86,Miami (OH),MAC (East),,8,6,-2.63,-0.40,-3.03,37.25,15.67,8.71,5.58,4.60,2.96,6.17,4.20
87,Northwestern,Big Ten (West),,3,9,-9.93,6.81,-3.13,33.85,5.22,6.49,4.43,5.51,2.52,5.78,3.51
88,Maryland,Big Ten (East),,3,9,-5.71,2.53,-3.18,44.06,16.39,8.25,5.76,6.56,3.09,7.17,4.43
89,South Florida,American (East),,4,8,-6.62,3.36,-3.26,34.89,12.41,8.16,4.55,5.71,3.05,6.57,3.84
90,Ball State,MAC (West),,5,7,4.33,-7.85,-3.51,45.13,19.68,8.85,6.20,5.91,3.57,7.05,4.80
91,Kent State,MAC (East),,7,6,1.30,-5.49,-4.19,41.03,20.76,9.28,7.41,5.55,4.14,6.97,5.40
92,Army,Ind,,5,8,-5.18,0.94,-4.23,37.86,11.45,9.63,5.23,6.05,3.53,6.50,4.59
93,Arizona,Pac-12 (South),,4,8,2.33,-6.57,-4.25,42.98,19.25,9.54,5.76,5.95,3.62,7.43,4.77
94,Fresno State,MWC (West),,4,8,1.10,-5.64,-4.53,40.39,18.04,9.08,5.03,5.85,3.41,7.20,4.48
95,UAB,CUSA (West),,9,5,-5.89,1.29,-4.60,33.98,14.68,9.47,5.31,4.93,3.13,6.60,4.17
96,Louisiana-Monroe,Sun Belt (West),,5,7,4.13,-9.05,-4.92,43.77,25.45,8.70,6.94,6.74,4.58,7.63,5.53
97,Troy,Sun Belt (East),,5,7,4.10,-9.10,-5.01,44.76,25.81,8.60,7.65,5.56,3.47,7.29,5.44
98,Liberty,Ind,,8,5,0.29,-5.98,-5.70,39.53,19.58,9.25,6.89,5.25,3.53,7.24,5.04
99,Kansas,Big 12,,3,9,-1.79,-3.94,-5.73,39.95,18.37,8.79,5.99,6.11,3.38,7.35,4.51
100,San Jose State,MWC (West),,5,7,3.25,-9.33,-6.08,41.87,21.74,9.84,5.65,4.63,3.78,7.53,4.82
101,Middle Tennessee State,CUSA (East),,4,8,-0.60,-5.51,-6.11,40.60,19.20,9.42,6.54,6.43,4.22,7.77,5.39
102,Arkansas,SEC (West),,2,10,-2.60,-3.98,-6.58,39.79,18.33,7.91,6.01,6.45,3.83,7.02,4.68
103,Georgia State,Sun Belt (East),,7,6,3.11,-9.72,-6.61,42.50,25.60,7.79,7.54,6.43,4.29,6.92,5.76
104,Colorado State,MWC (Mountain),,4,8,0.74,-7.58,-6.84,40.15,21.16,9.73,5.27,5.21,3.49,7.35,4.55
105,Charlotte,CUSA (East),,7,6,0.71,-7.58,-6.88,40.26,21.75,9.87,6.96,5.97,3.94,7.39,5.15
106,Coastal Carolina,Sun Belt (East),,5,7,-2.26,-4.76,-7.02,36.59,18.71,7.72,7.38,5.20,3.29,6.20,5.01
107,Eastern Michigan,MAC (West),,6,7,0.18,-7.68,-7.50,39.84,21.32,8.99,7.45,4.80,3.66,7.00,5.28
108,North Carolina State,ACC (Atlantic),,4,8,-7.68,-0.14,-7.82,34.91,14.63,7.46,5.36,5.58,2.58,6.45,4.08
109,Florida International,CUSA (East),,6,7,-5.18,-3.01,-8.19,35.38,17.69,8.23,5.41,5.25,4.36,6.49,4.85
110,Georgia Tech,ACC (Coastal),,3,9,-5.23,-3.27,-8.49,34.92,18.21,8.34,5.99,5.97,3.56,6.77,4.51
111,Nevada,MWC (West),,7,6,-7.30,-1.34,-8.64,32.02,20.94,8.02,6.53,4.31,3.29,6.01,4.88
112,Toledo,MAC (West),,6,6,-3.08,-5.68,-8.76,36.73,21.56,8.42,7.18,6.05,4.28,6.97,5.60
113,North Texas,CUSA (West),,4,8,-0.46,-9.01,-9.47,40.53,23.02,8.58,5.66,4.96,3.82,6.74,4.76
114,East Carolina,American (East),,4,8,-1.03,-8.82,-9.85,38.78,22.10,9.51,6.83,5.15,4.15,7.14,5.58
115,Northern Illinois,MAC (West),,5,7,-7.34,-2.67,-10.01,33.12,17.57,8.17,6.21,4.61,4.08,6.18,5.13
116,Vanderbilt,SEC (East),,3,9,-8.23,-2.05,-10.28,35.27,15.55,7.45,6.73,5.94,3.78,6.58,4.94
117,Rice,CUSA (West),,3,9,-9.98,-0.48,-10.46,30.20,13.65,7.74,6.63,4.62,2.89,5.81,4.77
118,Rutgers,Big Ten (East),,2,10,-10.92,-0.24,-11.16,31.01,17.21,7.84,5.93,5.25,3.49,6.13,4.64
119,Nevada-Las Vegas,MWC (West),,4,8,-3.54,-8.01,-11.55,36.11,23.10,8.14,6.22,5.70,4.38,6.62,5.30
120,South Alabama,Sun Belt (West),,2,10,-10.05,-2.23,-12.28,28.77,16.49,8.00,6.59,4.98,3.08,6.04,4.49
121,Texas State,Sun Belt (West),,3,9,-9.65,-2.73,-12.38,29.03,18.26,7.59,6.22,3.91,3.25,5.96,4.44
122,New Mexico,MWC (Mountain),,2,10,-5.40,-8.30,-13.70,33.32,24.74,8.92,7.45,5.97,3.26,6.97,5.47
123,UTSA,CUSA (West),,4,8,-6.61,-7.47,-14.08,33.13,24.27,7.49,6.91,5.58,4.63,6.32,5.74
124,Connecticut,American (East),,2,10,-8.30,-6.53,-14.83,31.19,26.15,8.52,6.50,4.74,4.69,6.34,5.79
125,Bowling Green,MAC (East),,3,9,-13.70,-2.38,-16.08,27.45,27.70,6.82,8.01,4.89,4.80,5.63,6.09
126,New Mexico State,Ind,,2,10,-7.24,-9.63,-16.86,32.93,28.94,7.00,5.72,5.67,4.91,6.22,5.22
127,Old Dominion,CUSA (East),,1,11,-12.05,-5.07,-17.12,27.16,18.80,6.86,6.72,3.58,3.04,5.02,4.67
128,UTEP,CUSA (West),,1,11,-10.11,-12.99,-23.10,27.89,28.00,7.99,7.21,4.70,4.92,6.06,5.97
129,Akron,MAC (East),,0,12,-20.57,-6.07,-26.64,17.31,26.06,6.44,6.91,2.46,3.71,4.67,4.91
130,Massachusetts,Ind,,1,11,-9.28,-20.68,-29.95,29.39,46.26,6.36,9.00,4.21,5.88,5.19,7.15
