,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Ohio State,Big Ten (East),3,13,1,14.04,13.36,27.39,69.25,-5.17,11.65,3.65,7.70,1.30,9.06,2.54
2,LSU,SEC (West),1,15,0,18.80,7.00,25.80,68.23,2.05,12.70,4.39,6.80,1.65,9.78,3.15
3,Alabama,SEC (West),8,11,2,13.02,8.09,21.11,64.63,1.90,12.99,4.33,6.79,2.22,9.70,3.26
4,Clemson,ACC (Atlantic),2,14,1,5.67,15.37,21.04,59.24,-4.79,10.31,3.74,7.90,1.64,8.93,2.72
5,Wisconsin,Big Ten (West),11,10,4,5.48,12.25,17.73,55.33,-3.22,10.41,4.05,7.27,1.81,8.35,3.14
6,Georgia,SEC (East),4,12,2,2.74,14.90,17.64,50.57,-5.11,9.85,3.95,6.78,0.94,8.07,2.62
7,Penn State,Big Ten (East),9,11,2,5.84,11.50,17.34,54.81,-1.55,10.00,5.21,6.77,1.33,7.99,3.34
8,Notre Dame,Ind,12,11,2,5.97,11.25,17.22,52.36,0.64,9.64,3.27,6.47,2.41,7.79,3.04
9,Oregon,Pac-12 (North),5,12,2,6.30,10.72,17.02,52.75,0.31,10.29,3.92,6.38,2.16,7.97,3.21
10,Auburn,SEC (West),14,9,4,5.92,10.34,16.26,53.09,-1.43,8.90,3.49,6.57,1.61,7.42,2.70
11,Oklahoma,Big 12,7,12,2,12.84,2.95,15.79,59.44,8.49,12.83,5.22,7.54,2.64,9.53,3.93
12,Michigan,Big Ten (East),18,9,4,7.40,8.10,15.50,53.59,0.12,10.44,4.61,5.81,1.38,7.75,2.90
13,Florida,SEC (East),6,11,2,4.83,10.38,15.22,51.94,-0.21,10.49,5.24,6.11,1.78,8.37,3.44
