,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Alabama,SEC (West),1,13,0,16.47,13.79,30.26,60.07,7.32,11.74,5.46,5.80,2.74,8.73,3.87
2,Ohio State,Big Ten (East),2,7,1,16.07,5.30,21.37,54.29,15.02,10.02,7.61,6.97,3.22,8.44,5.41
3,Georgia,SEC (East),7,8,2,8.12,11.21,19.33,44.08,9.25,9.23,6.00,5.43,1.84,7.33,3.80
4,Ball State,MAC (West),23,7,1,10.07,8.34,18.41,43.27,13.46,8.09,7.18,4.69,3.46,5.88,5.52
5,Buffalo,MAC (East),25,6,1,11.49,6.24,17.73,48.00,15.91,7.86,6.97,6.81,3.78,6.95,5.33
6,Oklahoma,Big 12,6,9,2,9.57,8.04,17.62,55.57,7.47,10.80,5.43,5.84,2.37,8.09,4.03
7,Florida,SEC (East),13,8,4,15.62,1.23,16.85,50.20,19.24,10.34,6.44,4.95,4.04,8.14,4.98
8,Clemson,ACC (Atlantic),3,10,2,9.10,7.73,16.82,56.39,7.55,9.32,6.55,5.43,2.29,7.59,4.03
9,Texas A&M,SEC (West),4,9,1,6.11,10.13,16.24,41.84,10.70,8.30,5.99,6.00,3.02,7.22,4.28
10,Cincinnati,American,8,9,1,4.20,10.72,14.92,46.24,6.68,8.48,5.61,6.60,2.54,7.46,3.95
11,BYU,Ind,11,11,1,4.24,10.46,14.70,51.76,7.41,11.13,6.29,6.30,3.15,8.73,4.54
12,Iowa State,Big 12,9,9,3,5.10,8.83,13.93,47.13,5.85,9.41,6.15,6.39,2.10,7.71,4.13
13,Iowa,Big Ten (West),16,6,2,4.26,9.52,13.77,40.54,11.28,6.07,6.75,5.14,2.84,5.90,4.32
14,Indiana,Big Ten (East),12,6,2,2.46,11.25,13.71,35.32,10.28,6.87,6.53,3.76,3.72,5.63,4.81
15,Northwestern,Big Ten (West),10,7,2,-0.44,12.99,12.55,34.07,8.19,6.02,5.36,4.51,4.00,5.35,4.27
16,Toledo,MAC (West),,4,2,6.70,5.73,12.44,40.06,15.66,8.63,6.88,4.32,3.38,6.19,5.35
17,Texas,Big 12,19,7,3,12.68,-0.73,11.95,57.49,16.09,9.37,5.67,6.52,2.65,7.87,4.19
18,Miami (OH),MAC (East),,2,1,3.95,7.46,11.41,36.81,17.68,7.87,9.54,3.93,2.57,5.64,5.96
19,Notre Dame,ACC (Atlantic),5,10,2,2.01,9.31,11.32,44.81,5.31,8.67,6.06,5.99,3.08,7.24,4.46
20,Coastal Carolina,Sun Belt (East),14,11,1,5.40,5.50,10.90,45.70,10.90,10.48,5.84,5.65,3.76,7.40,4.69
21,Oklahoma State,Big 12,20,8,3,3.64,6.82,10.46,44.93,8.63,9.27,5.60,5.41,3.05,6.92,4.18
22,Western Michigan,MAC (West),,4,2,14.52,-4.13,10.39,49.19,26.30,10.32,7.34,5.28,4.09,7.08,5.82
23,Auburn,SEC (West),,6,5,1.86,7.75,9.61,36.73,13.90,7.63,6.41,5.35,3.80,6.63,4.72
24,Wisconsin,Big Ten (West),,4,3,-3.47,12.09,8.62,35.12,9.06,6.34,7.08,4.13,3.00,5.34,4.77
25,Central Michigan,MAC (West),,3,3,4.64,3.62,8.26,39.22,18.21,6.89,8.57,5.29,2.88,5.66,5.59
26,Ole Miss,SEC (West),,5,5,16.11,-8.05,8.07,49.75,29.22,11.05,7.40,5.00,5.21,7.75,5.91
27,Louisiana,Sun Belt (West),15,10,1,3.17,4.59,7.75,42.88,12.89,7.97,4.88,6.20,3.57,6.97,4.09
28,Texas Christian,Big 12,,6,4,2.03,5.38,7.41,43.86,9.58,8.64,6.23,6.49,2.78,7.30,4.38
29,San Jose State,MWC (West),24,7,1,0.54,6.50,7.05,37.46,12.91,7.70,7.79,5.39,2.55,7.11,4.70
30,North Carolina,ACC (Coastal),18,8,4,10.10,-3.07,7.03,52.75,18.58,10.96,6.80,6.41,3.63,8.41,5.01
31,Kent State,MAC (East),,3,1,18.26,-11.24,7.02,52.39,35.37,9.99,7.82,5.31,5.66,7.10,6.77
32,LSU,SEC (West),,5,5,6.89,-0.25,6.64,41.17,23.76,8.20,8.44,3.74,4.58,6.30,6.15
33,Miami (FL),ACC (Coastal),22,8,3,3.33,3.23,6.56,46.32,12.80,8.92,5.54,5.19,3.56,7.04,4.44
34,Kentucky,SEC (East),,5,6,-2.66,8.79,6.12,31.44,14.91,6.12,5.66,5.67,4.02,6.00,4.44
35,West Virginia,Big 12,,6,4,-2.14,8.11,5.97,38.98,8.20,8.15,5.48,4.87,2.50,6.54,3.84
36,UCF,American,,6,4,13.35,-7.43,5.92,51.89,23.26,8.97,8.29,5.73,3.37,7.42,5.39
37,Eastern Michigan,MAC (West),,2,4,4.96,0.84,5.80,38.91,21.06,7.92,6.94,3.95,4.96,5.64,6.03
38,Appalachian State,Sun Belt (East),,9,3,-0.07,5.54,5.47,39.25,11.73,7.86,5.26,6.19,3.62,6.83,4.29
39,USC,Pac-12 (South),21,5,1,4.72,0.60,5.32,38.55,17.95,8.05,5.93,3.71,2.99,6.39,4.18
40,Tulsa,American,,6,3,-1.42,6.62,5.20,36.25,10.03,7.79,5.66,5.05,2.86,6.44,4.01
41,Ohio,MAC (East),,2,1,1.61,2.67,4.28,34.78,19.65,7.11,7.85,5.28,4.50,5.72,6.26
42,Penn State,Big Ten (East),,4,5,3.00,1.21,4.22,37.34,20.14,7.28,7.04,4.38,3.22,5.91,4.57
43,Arkansas,SEC (West),,3,7,2.36,1.63,3.99,37.10,21.27,9.17,5.24,4.72,4.26,6.72,4.36
44,Mississippi State,SEC (West),,4,7,-1.21,5.15,3.94,32.74,17.24,6.76,6.28,2.98,3.03,5.84,4.45
45,Boise State,MWC (Mountain),,5,2,5.93,-2.52,3.41,44.79,21.28,7.06,7.35,4.46,2.87,6.21,4.56
46,Marshall,CUSA (East),,7,3,-5.47,8.77,3.30,36.24,9.70,8.43,6.53,4.86,2.60,6.38,4.47
47,Missouri,SEC (East),,5,5,2.35,-0.43,1.92,36.76,22.71,8.06,6.95,4.54,4.37,6.51,5.20
48,Arizona State,Pac-12 (South),,2,2,-1.84,3.59,1.75,43.94,16.20,9.73,6.14,6.79,3.83,8.08,4.62
49,Liberty,Ind,17,10,1,2.55,-0.95,1.60,42.82,17.70,8.72,6.51,5.85,4.02,7.09,5.16
50,Pitt,ACC (Coastal),,6,5,-2.30,3.85,1.54,40.78,13.10,7.63,6.23,4.08,1.84,6.02,3.88
51,Virginia Tech,ACC (Coastal),,5,6,2.65,-1.14,1.51,43.37,16.78,9.44,6.20,6.54,4.29,7.62,5.07
52,Tennessee,SEC (East),,3,7,-0.72,2.21,1.49,32.90,19.66,8.17,7.43,4.41,3.04,6.24,4.74
53,UAB,CUSA (West),,6,3,1.03,0.25,1.28,39.74,16.29,8.28,5.20,5.65,3.93,6.74,4.54
54,Air Force,MWC (Mountain),,3,3,-7.08,7.93,0.85,32.71,10.00,7.63,7.77,6.75,3.14,6.74,5.04
55,Oregon,Pac-12 (North),,4,3,1.38,-0.58,0.81,38.72,19.90,9.75,6.11,5.67,3.53,7.63,4.40
56,Army,Ind,,9,3,-6.03,6.69,0.67,34.39,10.00,7.22,6.36,5.19,3.05,5.30,4.62
57,Utah,Pac-12 (South),,3,2,-1.33,1.99,0.67,35.10,18.91,7.88,6.34,5.39,3.20,6.67,4.68
58,Maryland,Big Ten (East),,2,3,1.19,-0.70,0.49,35.05,26.24,8.72,7.01,5.02,4.94,7.27,5.55
