,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
59,Baylor,Big 12,,2,7,-2.02,2.50,0.48,38.02,13.10,7.48,5.69,4.09,3.12,5.78,4.23
60,Nevada,MWC (West),,7,2,0.99,-0.54,0.45,37.45,19.11,7.05,8.26,4.86,3.22,6.76,5.24
61,San Diego State,MWC (West),,4,4,-6.24,6.66,0.43,31.59,11.31,5.39,6.13,5.11,2.22,5.51,3.71
62,North Carolina State,ACC (Atlantic),,8,4,2.59,-2.25,0.35,40.46,17.60,8.73,6.24,4.13,3.45,6.45,4.66
63,Georgia State,Sun Belt (East),,6,4,5.26,-4.93,0.34,42.79,24.88,8.17,6.72,4.99,3.41,6.37,5.06
64,Nebraska,Big Ten (West),,3,5,-2.27,2.41,0.14,32.45,20.82,6.32,7.78,5.32,3.73,6.02,5.14
65,Washington,Pac-12 (North),,3,1,0.09,0.02,0.11,33.60,20.52,8.56,6.09,4.41,3.69,6.39,4.48
66,SMU,American,,7,3,5.63,-5.57,0.06,44.81,23.57,8.62,7.40,5.18,3.46,7.02,5.15
67,Kansas State,Big 12,,4,6,-0.96,0.95,-0.01,40.11,16.64,8.84,6.29,5.68,3.73,6.91,4.93
68,Boston College,ACC (Atlantic),,6,5,0.63,-0.67,-0.04,39.30,15.31,8.77,6.75,3.97,3.78,6.58,5.04
69,UCLA,Pac-12 (South),,3,4,6.86,-6.97,-0.11,42.75,24.67,8.75,6.61,5.41,2.97,7.01,4.51
70,Purdue,Big Ten (West),,2,4,2.79,-2.97,-0.18,36.49,24.65,6.88,9.21,3.49,3.04,6.16,5.51
71,Wake Forest,ACC (Atlantic),,4,5,5.56,-5.89,-0.33,48.33,20.57,8.78,6.60,4.72,3.80,6.64,4.94
72,Virginia,ACC (Coastal),,5,5,0.17,-0.56,-0.39,41.36,15.17,7.71,7.95,5.08,3.02,6.51,5.21
73,Tulane,American,,6,6,2.46,-3.17,-0.71,43.04,20.77,6.71,8.19,5.90,2.98,6.26,5.20
74,Louisville,ACC (Atlantic),,4,7,0.13,-0.91,-0.78,41.65,16.12,9.50,6.69,6.11,4.15,7.64,5.06
75,Michigan,Big Ten (East),,2,4,4.17,-5.42,-1.25,38.32,29.41,7.14,8.13,5.07,4.44,6.56,5.77
76,Memphis,American,,8,3,-0.16,-1.12,-1.29,37.48,19.65,7.89,7.27,4.91,3.26,6.66,5.22
77,Minnesota,Big Ten (West),,3,4,1.60,-2.93,-1.32,34.70,23.73,7.02,8.22,5.11,5.97,6.07,6.50
78,Northern Illinois,MAC (West),,0,6,-0.06,-1.47,-1.53,34.27,23.70,6.44,8.14,4.01,4.04,5.05,6.07
79,Colorado,Pac-12 (South),,4,2,0.32,-1.99,-1.66,36.05,22.34,7.59,6.24,5.49,4.53,6.45,5.15
80,Texas Tech,Big 12,,4,6,5.64,-7.31,-1.67,43.28,22.72,8.09,6.14,6.12,3.43,7.11,4.69
81,Georgia Southern,Sun Belt (East),,8,5,-2.66,0.86,-1.80,35.02,15.92,8.39,6.75,5.84,3.21,6.52,4.95
82,Troy,Sun Belt (East),,5,6,-4.29,2.05,-2.24,34.47,16.73,7.52,6.23,3.85,3.55,5.98,4.71
83,Rutgers,Big Ten (East),,3,6,0.64,-3.02,-2.38,33.24,24.58,5.25,7.87,4.38,4.36,5.10,5.36
84,Houston,American,,3,5,0.66,-3.50,-2.84,40.00,20.08,7.29,7.21,4.81,3.14,6.27,4.84
85,Michigan State,Big Ten (East),,2,5,-4.39,1.47,-2.93,29.85,25.29,7.29,7.27,3.48,3.57,5.67,4.96
86,Stanford,Pac-12 (North),,4,2,1.66,-4.67,-3.00,35.93,25.05,8.83,7.78,4.58,4.72,7.03,5.78
87,South Carolina,SEC (East),,2,8,-1.92,-1.46,-3.38,33.12,26.20,6.86,7.83,5.06,4.52,6.04,5.59
88,UTSA,CUSA (West),,7,5,-2.37,-1.43,-3.80,34.71,18.94,7.11,6.98,5.44,3.77,6.20,5.21
89,Rice,CUSA (West),,2,3,-10.01,6.04,-3.97,27.42,11.32,8.45,7.01,2.75,3.53,4.98,5.05
90,Hawaii,MWC (West),,5,4,-3.03,-1.96,-4.98,33.94,21.03,5.88,7.65,5.13,4.56,5.94,5.37
91,Wyoming,MWC (Mountain),,2,4,-8.02,2.75,-5.27,29.80,14.79,5.60,7.97,5.39,2.93,5.72,4.68
92,Illinois,Big Ten (West),,2,6,-3.22,-3.17,-6.39,31.16,28.56,6.32,9.90,5.52,5.13,6.09,6.65
93,East Carolina,American,,3,6,0.13,-6.55,-6.43,38.22,25.19,7.16,7.17,5.31,4.30,6.28,5.62
94,Oregon State,Pac-12 (North),,2,5,0.86,-8.13,-7.27,36.22,26.79,7.19,6.81,5.90,4.76,6.71,5.39
95,Georgia Tech,ACC (Coastal),,3,7,-4.05,-3.80,-7.85,35.93,23.94,7.74,6.79,5.63,3.83,6.60,4.96
96,Arkansas State,Sun Belt (West),,4,7,3.41,-11.27,-7.86,41.40,29.38,9.34,8.25,4.09,3.49,6.99,5.68
97,Florida Atlantic,CUSA (East),,5,4,-11.40,3.49,-7.91,24.95,14.83,6.04,6.53,4.80,3.88,5.27,5.07
98,Louisiana Tech,CUSA (West),,5,5,-1.33,-7.01,-8.34,35.71,26.80,6.52,6.94,3.47,3.99,5.03,5.28
99,Akron,MAC (East),,1,5,-11.99,3.17,-8.82,20.21,29.95,5.14,9.17,3.97,5.38,4.28,7.03
100,Florida State,ACC (Atlantic),,3,6,-2.27,-6.60,-8.87,36.41,24.07,6.95,7.02,6.02,4.38,6.52,5.47
101,Fresno State,MWC (West),,3,3,-1.15,-7.76,-8.90,34.99,27.16,7.10,9.05,3.71,4.59,6.19,6.06
102,South Alabama,Sun Belt (West),,4,7,-11.11,1.29,-9.83,26.96,17.70,8.27,7.97,3.56,4.04,5.77,5.75
103,Texas State,Sun Belt (West),,2,10,0.44,-10.37,-9.93,38.51,28.46,7.63,6.76,4.95,4.59,6.42,5.42
104,Navy,American,,3,7,-9.43,-0.66,-10.08,27.98,20.71,8.03,7.53,4.75,3.98,5.29,5.26
105,California,Pac-12 (North),,1,3,-12.17,2.06,-10.11,24.58,16.80,6.20,6.36,3.73,3.44,5.15,4.38
106,Western Kentucky,CUSA (East),,5,7,-10.50,-0.65,-11.15,26.50,17.71,5.99,5.69,4.18,3.50,5.07,4.39
107,Washington State,Pac-12 (North),,1,3,-2.62,-8.71,-11.34,34.54,30.06,7.84,7.32,5.42,4.19,6.93,5.60
108,Vanderbilt,SEC (East),,0,9,-10.91,-0.70,-11.61,23.07,27.45,7.03,8.06,3.48,5.46,5.38,6.39
109,New Mexico,MWC (Mountain),,2,5,-2.97,-8.75,-11.71,33.39,28.35,5.63,9.99,5.45,3.95,5.89,6.34
110,Duke,ACC (Coastal),,2,9,-5.36,-7.52,-12.88,35.61,26.58,7.00,6.91,4.51,4.42,5.75,5.33
111,Syracuse,ACC (Atlantic),,1,10,-10.19,-2.74,-12.92,29.98,18.05,6.52,6.21,4.09,3.82,5.43,4.68
112,Kansas,Big 12,,0,9,-7.61,-5.92,-13.53,33.00,30.63,6.44,6.21,4.07,4.59,5.07,5.31
113,Arizona,Pac-12 (South),,0,5,-11.63,-2.45,-14.08,25.50,29.53,6.87,7.22,4.99,5.11,6.09,5.63
114,Colorado State,MWC (Mountain),,1,3,-5.74,-8.57,-14.31,32.17,29.23,6.64,9.31,4.40,2.19,5.74,4.66
115,South Florida,American,,1,8,-5.20,-9.19,-14.39,33.44,29.95,6.56,7.31,4.94,4.13,5.81,5.30
116,Southern Mississippi,CUSA (West),,3,7,-5.02,-9.37,-14.39,32.73,28.03,8.06,7.53,4.68,4.31,6.17,5.69
117,Charlotte,CUSA (East),,2,4,-4.66,-9.75,-14.41,33.51,29.60,8.10,7.79,4.09,5.47,5.92,6.48
118,North Texas,CUSA (West),,4,6,2.83,-17.63,-14.80,39.70,38.20,8.64,7.88,5.43,6.11,6.86,6.82
119,UTEP,CUSA (West),,3,5,-12.03,-3.26,-15.29,24.06,24.25,6.99,8.34,3.65,3.81,5.20,5.76
120,Middle Tennessee State,CUSA (East),,3,6,-4.67,-10.69,-15.36,32.80,31.20,7.43,7.20,4.31,5.25,5.86,6.11
121,Bowling Green,MAC (East),,0,5,-15.63,-1.88,-17.51,15.96,34.04,5.18,6.93,4.65,5.53,4.71,6.30
122,Temple,American,,1,6,-11.90,-7.35,-19.25,25.26,26.40,5.91,8.94,4.28,3.98,5.16,5.78
123,Utah State,MWC (Mountain),,1,5,-13.09,-6.29,-19.38,24.52,28.12,4.08,8.89,5.42,4.68,5.15,6.09
124,Nevada-Las Vegas,MWC (West),,0,6,-9.50,-11.17,-20.68,28.16,32.55,5.26,9.29,4.91,5.87,5.50,6.75
125,Florida International,CUSA (East),,0,5,-8.34,-13.84,-22.18,29.07,30.02,5.48,7.02,4.74,4.88,5.09,5.72
126,Louisiana-Monroe,Sun Belt (West),,0,10,-12.54,-11.13,-23.67,25.74,33.96,6.60,9.27,3.81,4.75,5.52,6.26
127,Massachusetts,Ind,,0,4,-21.63,-3.05,-24.68,17.17,34.25,5.68,7.09,3.27,5.53,4.32,6.35
128,New Mexico State,Ind,,1,1,-7.75,-19.92,-27.68,26.50,36.00,6.16,9.26,5.45,5.54,5.78,7.32
129,Connecticut,Ind (East),,0,0,,,,,,,,,,,
130,Old Dominion,CUSA (East),,0,0,,,,,,,,,,,
