,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Alabama,SEC (West),2,14,1,8.01,17.62,25.62,58.39,-6.83,9.76,3.62,7.42,0.07,8.20,2.06
2,Clemson,ACC (Atlantic),1,14,1,9.40,10.68,20.08,59.54,-0.13,10.18,3.54,6.35,2.10,8.07,3.09
3,Washington,Pac-12 (North),4,12,2,7.59,12.39,19.98,56.98,0.69,10.71,4.10,6.50,2.20,8.15,3.19
4,Ohio State,Big Ten (East),6,11,2,3.69,15.13,18.82,58.54,-4.03,8.92,3.37,7.15,2.02,7.70,2.85
5,Michigan,Big Ten (East),10,10,3,4.71,12.85,17.56,59.79,-2.59,9.70,3.87,6.52,1.76,7.67,2.81
6,USC,Pac-12 (South),3,10,3,7.71,9.56,17.27,52.37,4.42,10.11,4.59,6.88,2.47,8.22,3.66
7,LSU,SEC (West),13,8,4,2.68,13.25,15.93,47.48,-3.92,9.69,4.37,7.84,1.43,8.42,2.95
8,Penn State,Big Ten (East),7,11,3,11.63,4.09,15.72,57.14,7.96,11.59,4.67,6.35,2.38,8.40,3.66
9,Wisconsin,Big Ten (West),9,11,3,2.13,13.17,15.30,48.30,-1.66,10.03,4.70,6.00,1.85,7.21,3.46
10,Florida State,ACC (Atlantic),8,10,3,9.49,5.52,15.01,54.26,6.02,10.36,5.07,6.90,2.19,8.28,3.64
11,Oklahoma,Big 12,5,11,2,14.64,0.34,14.98,61.69,10.26,12.86,5.18,6.73,3.30,9.16,4.33
12,Miami (FL),ACC (Coastal),20,9,4,3.39,9.96,13.36,50.75,2.68,10.02,4.12,6.05,1.93,7.86,3.20
13,Stanford,Pac-12 (North),12,10,3,0.01,12.54,12.54,42.70,1.09,8.71,4.72,6.53,2.61,7.26,3.69
14,Colorado,Pac-12 (South),17,10,4,2.32,9.86,12.18,48.18,3.08,9.51,3.66,5.44,2.62,7.04,3.23
15,Western Michigan,MAC (West),15,13,1,7.61,4.42,12.03,53.94,10.27,10.76,5.96,6.22,3.68,7.77,4.86
16,Auburn,SEC (West),24,8,5,-1.04,13.02,11.97,49.58,-1.17,9.69,4.33,7.03,2.03,7.73,3.35
17,Louisville,ACC (Atlantic),21,9,4,8.81,3.06,11.87,60.74,9.10,10.44,5.06,7.89,1.89,8.82,3.46
18,Oklahoma State,Big 12,11,10,3,8.39,2.77,11.16,53.50,8.84,10.96,5.50,5.70,3.46,8.15,4.35
19,Virginia Tech,ACC (Coastal),16,10,4,4.26,6.74,11.00,50.43,5.47,9.85,4.22,5.39,2.40,7.06,3.38
20,Florida,SEC (East),14,9,4,-2.62,13.60,10.98,43.18,0.07,8.93,3.92,5.28,2.13,6.86,2.99
21,Tennessee,SEC (East),22,9,4,11.58,-0.99,10.59,56.37,14.41,10.46,5.37,6.91,3.55,8.24,4.49
22,West Virginia,Big 12,18,10,3,4.01,5.56,9.57,46.83,5.94,10.00,4.91,6.37,3.05,7.84,3.94
23,Washington State,Pac-12 (North),,8,5,5.70,3.33,9.03,52.90,9.91,9.11,6.09,5.60,2.89,7.54,4.67
24,Temple,American (East),,10,4,2.00,6.96,8.97,45.82,5.62,9.93,4.68,5.61,2.41,7.23,3.54
25,Appalachian State,Sun Belt,,10,3,-0.86,9.68,8.83,39.47,5.48,8.31,4.42,6.91,3.04,7.29,3.91
26,Texas A&M,SEC (West),,8,5,5.40,3.37,8.77,52.91,8.21,8.98,5.27,7.31,2.79,7.95,4.02
27,Western Kentucky,CUSA (East),,11,3,6.84,1.84,8.68,56.57,11.27,11.18,5.63,6.60,1.73,8.76,3.89
28,Minnesota,Big Ten (West),,9,4,4.00,4.65,8.65,45.24,7.55,8.61,4.69,5.47,2.09,6.53,3.58
29,Utah,Pac-12 (South),23,9,4,3.31,5.35,8.65,44.06,7.40,8.96,5.30,6.07,2.67,7.15,4.17
30,North Carolina,ACC (Coastal),,8,5,6.18,2.07,8.25,49.06,10.60,10.06,5.33,6.32,3.12,8.12,4.02
31,Pitt,ACC (Coastal),,8,5,15.30,-7.17,8.12,58.54,18.39,10.67,5.64,6.88,2.42,8.16,4.46
32,Kansas State,Big 12,,9,4,1.70,6.39,8.09,46.96,5.05,8.25,5.42,6.32,2.49,7.07,4.15
33,Boise State,MWC (Mountain),,10,3,2.87,5.14,8.01,45.67,8.81,10.85,4.59,5.80,2.77,7.91,3.92
34,South Florida,American (East),19,11,2,14.00,-6.16,7.83,57.75,19.18,9.86,5.48,7.71,3.57,8.43,4.65
35,Nebraska,Big Ten (West),,9,4,-0.90,8.45,7.55,43.37,7.38,8.86,4.96,5.62,3.09,6.87,4.22
36,North Carolina State,ACC (Atlantic),,7,6,0.69,6.81,7.49,44.21,5.76,9.66,4.82,5.68,1.96,7.36,3.58
37,Georgia Tech,ACC (Coastal),,9,4,3.28,3.85,7.13,45.62,8.85,12.48,5.14,7.13,3.46,8.10,4.45
38,Tulsa,American (West),,10,3,11.07,-4.16,6.91,56.20,17.41,9.47,5.17,6.25,3.56,7.44,4.50
39,Iowa,Big Ten (West),,8,5,-0.51,7.31,6.81,42.87,4.70,8.49,4.94,5.98,2.96,6.84,4.00
40,BYU,Ind,,9,4,0.11,6.39,6.50,43.13,6.30,7.91,5.78,6.08,2.17,6.71,4.09
41,San Diego State,MWC (West),25,11,3,-0.89,6.86,5.97,43.95,8.33,9.12,5.28,6.53,2.02,7.23,3.75
42,Northwestern,Big Ten (West),,7,6,0.48,4.98,5.46,43.71,6.00,8.38,5.25,5.55,2.48,6.75,4.12
43,Houston,American (West),,9,4,2.50,2.94,5.44,49.05,8.79,9.04,4.89,4.64,1.76,6.59,3.55
44,Toledo,MAC (West),,9,4,7.20,-2.26,4.94,50.26,16.29,11.25,5.84,6.17,3.94,8.29,4.92
45,Ole Miss,SEC (West),,5,7,9.15,-4.41,4.74,52.84,16.33,9.93,5.49,5.98,3.53,7.84,4.49
46,Arkansas,SEC (West),,7,6,4.06,0.29,4.35,48.43,13.10,10.56,5.90,5.90,4.33,7.81,5.12
