,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
47,Notre Dame,Ind,,4,8,5.46,-1.19,4.27,50.13,11.84,9.66,5.25,6.08,2.63,7.60,3.84
48,Troy,Sun Belt,,10,3,1.63,2.48,4.10,44.99,12.80,8.21,5.42,5.64,2.78,6.76,4.23
49,Air Force,MWC (Mountain),,10,3,4.96,-0.87,4.09,45.85,15.45,13.03,6.74,5.94,2.17,7.00,4.63
50,Georgia,SEC (East),,8,5,0.35,3.29,3.64,41.83,8.65,8.51,4.94,6.01,2.47,6.97,3.71
51,Navy,American (West),,9,5,6.88,-3.29,3.59,51.23,15.09,13.08,6.64,7.25,3.40,8.15,5.02
52,Louisiana Tech,CUSA (West),,9,5,10.05,-6.66,3.39,53.53,19.01,10.24,5.93,6.08,2.68,8.35,4.33
53,Vanderbilt,SEC (East),,6,7,-2.05,5.26,3.21,39.81,6.93,8.35,4.86,5.81,3.00,6.78,4.15
54,Baylor,Big 12,,7,6,2.67,0.34,3.01,48.69,12.57,9.17,5.16,5.99,3.15,7.32,3.88
55,Memphis,American (West),,8,5,3.28,-0.32,2.96,51.38,13.05,9.89,4.66,5.57,3.79,7.55,4.41
56,Texas Christian,Big 12,,6,7,1.88,0.74,2.63,45.88,10.74,8.70,5.06,6.19,3.15,7.37,3.94
57,UCLA,Pac-12 (South),,4,8,-0.86,3.49,2.63,41.62,9.27,9.15,4.16,4.28,2.39,6.86,3.31
58,Colorado State,MWC (Mountain),,7,6,5.18,-2.66,2.52,48.21,17.86,10.38,6.75,6.67,3.67,7.94,5.07
59,California,Pac-12 (North),,5,7,12.42,-10.00,2.42,54.80,24.71,8.98,5.50,5.97,4.67,7.52,5.10
60,Kentucky,SEC (East),,7,6,4.33,-2.03,2.30,46.78,15.02,9.68,5.66,6.98,3.54,7.83,4.55
61,Texas,Big 12,,5,7,3.16,-1.41,1.75,46.51,12.12,9.40,5.48,5.82,2.84,7.27,3.88
62,Mississippi State,SEC (West),,6,7,5.19,-3.51,1.68,48.61,16.88,8.47,5.88,7.29,3.24,7.66,4.71
63,Oregon State,Pac-12 (North),,4,8,0.50,1.02,1.53,42.84,13.14,8.05,4.37,6.65,4.00,7.09,4.24
64,Indiana,Big Ten (East),,6,7,2.15,-0.77,1.38,43.94,11.76,9.79,5.45,5.21,2.39,7.12,3.85
65,Wyoming,MWC (Mountain),,8,6,9.04,-7.68,1.37,49.24,21.45,9.89,6.56,5.98,3.77,7.26,5.35
66,Texas Tech,Big 12,,5,7,12.46,-11.12,1.34,58.70,25.95,10.20,6.39,4.36,4.56,7.87,5.44
67,Old Dominion,CUSA (East),,10,3,3.52,-2.41,1.11,45.52,17.51,9.19,6.02,6.34,3.03,7.42,4.41
68,Wake Forest,ACC (Atlantic),,7,6,-4.32,5.04,0.73,37.75,6.93,7.90,5.41,5.32,2.53,6.16,4.04
69,Oregon,Pac-12 (North),,4,8,11.12,-10.42,0.70,52.81,24.36,9.96,5.64,6.80,4.44,8.02,5.06
70,Boston College,ACC (Atlantic),,7,6,-7.00,7.58,0.58,36.48,10.89,8.03,5.06,4.92,2.07,5.84,3.70
71,Maryland,Big Ten (East),,6,7,-1.82,1.89,0.07,42.77,14.64,8.82,5.61,6.46,3.74,7.27,4.63
72,UCF,American (East),,6,7,-1.67,1.66,-0.01,43.25,11.05,7.83,4.58,4.78,2.76,6.03,3.65
73,Arkansas State,Sun Belt,,8,5,-3.46,2.90,-0.56,38.03,12.10,9.32,5.67,4.42,2.80,6.43,4.24
74,South Carolina,SEC (East),,6,7,-5.88,4.97,-0.91,35.91,9.03,8.78,4.92,4.93,3.16,6.53,3.97
75,Idaho,Sun Belt,,9,4,1.16,-2.35,-1.19,41.34,20.38,8.87,7.07,4.89,3.32,6.61,5.31
76,New Mexico,MWC (Mountain),,9,4,5.26,-6.47,-1.21,45.45,21.28,8.73,6.81,7.37,3.70,7.59,5.33
77,Duke,ACC (Coastal),,4,8,-3.03,1.67,-1.36,40.99,10.97,8.45,6.81,5.62,2.93,6.76,4.76
78,Michigan State,Big Ten (East),,3,9,-1.21,-0.58,-1.79,43.51,11.04,9.29,5.84,6.13,2.71,7.37,4.21
79,Ohio,MAC (East),,8,6,-3.34,1.35,-1.99,35.65,12.40,8.15,5.90,5.19,2.14,6.46,4.11
80,Army,Ind,,8,5,-7.31,4.90,-2.41,40.75,10.25,8.70,5.12,6.62,2.79,6.78,4.22
81,Missouri,SEC (East),,4,8,0.19,-2.69,-2.50,48.71,16.84,9.91,5.27,6.29,3.71,7.87,4.52
82,Arizona State,Pac-12 (South),,5,7,5.89,-8.49,-2.60,47.78,21.22,9.21,6.89,4.55,3.78,6.58,5.53
83,Southern Mississippi,CUSA (West),,7,6,-0.02,-3.71,-3.73,44.08,18.76,9.16,6.37,5.54,3.34,7.13,4.70
84,UTSA,CUSA (West),,6,7,-3.47,-0.45,-3.92,37.49,13.99,8.05,6.12,4.98,2.83,6.17,4.38
85,Eastern Michigan,MAC (West),,7,6,-1.73,-2.57,-4.30,39.95,17.87,8.59,5.95,5.40,3.19,6.87,4.66
86,Northern Illinois,MAC (West),,5,7,-0.94,-3.45,-4.39,40.52,18.05,7.91,5.74,6.22,3.34,6.78,4.57
87,Georgia Southern,Sun Belt,,5,7,-3.04,-1.36,-4.40,38.82,15.67,8.56,6.17,5.42,3.66,6.30,5.01
88,Iowa State,Big 12,,3,9,-3.46,-0.97,-4.43,42.83,14.32,9.50,5.29,5.31,3.86,7.22,4.44
89,Syracuse,ACC (Atlantic),,4,8,0.08,-4.59,-4.51,43.26,20.37,9.44,6.86,5.13,3.97,7.19,5.40
90,Arizona,Pac-12 (South),,3,9,1.01,-5.64,-4.63,43.00,22.36,9.00,6.09,7.04,3.47,7.62,4.74
91,SMU,American (West),,5,7,-1.42,-3.42,-4.84,41.04,19.30,8.70,5.28,5.19,3.72,6.76,4.63
92,Middle Tennessee State,CUSA (East),,8,5,6.22,-11.74,-5.53,48.78,25.00,8.59,5.58,7.11,3.42,7.86,4.42
93,Central Michigan,MAC (West),,6,7,-4.70,-0.90,-5.60,37.94,17.55,9.03,5.51,4.78,3.48,6.88,4.56
94,South Alabama,Sun Belt,,6,7,-2.84,-2.96,-5.80,35.28,17.66,8.68,5.95,5.16,3.98,6.62,4.92
95,Utah State,MWC (Mountain),,3,9,-4.63,-1.35,-5.99,37.83,16.46,7.72,4.70,6.32,3.10,6.81,3.98
96,Louisiana,Sun Belt,,6,7,-5.43,-0.75,-6.18,34.30,16.23,8.01,6.27,4.94,2.64,5.96,4.52
97,Hawaii,MWC (West),,7,7,-1.79,-4.65,-6.44,38.67,23.87,8.61,6.38,5.85,3.92,7.04,5.11
98,Akron,MAC (East),,5,7,-0.40,-6.12,-6.52,40.18,24.35,9.04,6.16,5.37,4.01,7.10,5.08
99,Tulane,American (West),,4,8,-5.62,-0.92,-6.54,38.06,14.65,6.92,5.48,6.03,3.33,6.14,4.45
100,Miami (OH),MAC (East),,6,7,-6.06,-0.73,-6.79,33.83,14.54,9.64,5.61,4.93,2.97,6.79,4.23
101,Rutgers,Big Ten (East),,2,10,-9.42,2.45,-6.97,34.84,19.61,7.10,5.75,5.26,4.10,5.89,4.87
102,Illinois,Big Ten (West),,3,9,-5.92,-1.83,-7.75,38.09,16.29,7.74,5.65,6.25,3.46,6.82,4.35
103,Virginia,ACC (Coastal),,2,10,-4.34,-3.91,-8.25,38.32,17.63,7.68,6.32,5.07,3.27,6.30,4.78
104,Purdue,Big Ten (West),,3,9,0.20,-9.16,-8.96,42.38,25.56,8.17,6.34,4.64,4.15,6.58,5.10
105,Ball State,MAC (West),,4,8,-3.50,-5.61,-9.11,37.02,20.30,7.55,6.39,6.00,3.60,6.61,5.26
106,Kent State,MAC (East),,3,9,-7.19,-1.93,-9.12,32.38,17.72,7.15,5.20,5.55,3.23,6.03,4.10
107,Cincinnati,American (East),,4,8,-9.46,0.29,-9.17,32.76,12.41,8.53,5.65,4.86,3.19,6.60,4.22
108,Georgia State,Sun Belt,,3,9,-8.20,-1.17,-9.37,31.71,16.88,8.24,4.40,4.25,3.51,6.25,4.15
109,East Carolina,American (East),,3,9,-2.71,-6.98,-9.69,42.37,22.13,9.15,6.02,5.32,4.37,7.31,5.24
110,Nevada,MWC (West),,5,7,-6.49,-3.21,-9.70,33.80,18.73,8.26,6.87,5.30,4.95,6.47,5.66
111,San Jose State,MWC (West),,4,8,-4.71,-5.31,-10.03,36.07,22.33,8.59,6.70,4.95,4.20,6.38,5.29
112,Nevada-Las Vegas,MWC (West),,4,8,0.93,-10.98,-10.05,42.67,26.31,7.89,5.72,6.53,3.85,6.91,4.80
113,North Texas,CUSA (West),,5,8,-4.76,-5.57,-10.33,36.40,19.94,7.31,6.02,5.39,4.08,6.23,4.89
114,Bowling Green,MAC (East),,4,8,-5.14,-5.44,-10.58,36.55,26.68,7.68,7.29,5.46,3.39,6.38,5.14
115,Kansas,Big 12,,2,10,-9.16,-1.49,-10.65,35.94,19.08,7.98,5.16,4.69,4.02,6.33,4.38
116,Massachusetts,Ind,,2,10,-3.73,-8.21,-11.94,37.28,23.63,8.66,6.83,4.72,3.55,6.70,5.10
117,Louisiana-Monroe,Sun Belt,,4,8,-4.42,-7.55,-11.97,36.12,28.51,7.76,6.64,5.37,4.83,6.19,5.66
118,Charlotte,CUSA (East),,4,8,-6.50,-6.01,-12.51,34.92,22.47,6.45,6.27,5.54,3.01,5.92,4.88
119,Florida International,CUSA (East),,4,8,-6.88,-5.94,-12.82,33.99,21.07,7.91,6.38,5.56,3.95,6.60,5.02
120,New Mexico State,Sun Belt,,3,9,-4.52,-8.36,-12.88,37.20,27.60,7.70,7.17,5.63,4.16,6.49,5.55
121,Connecticut,American (East),,3,9,-13.01,-0.30,-13.30,28.32,14.83,7.95,6.07,4.67,2.96,6.07,4.69
122,UTEP,CUSA (West),,4,8,-6.45,-6.88,-13.33,35.19,24.13,7.45,6.19,6.42,4.18,6.85,5.13
123,Marshall,CUSA (East),,3,9,-9.24,-4.36,-13.59,35.06,20.51,7.71,6.72,4.51,3.46,6.07,4.94
124,Rice,CUSA (West),,3,9,-3.89,-9.78,-13.67,36.77,25.02,7.49,9.04,5.50,4.15,6.30,6.27
125,Fresno State,MWC (West),,1,11,-12.31,-1.94,-14.26,28.43,17.80,7.58,5.54,4.11,3.60,5.63,4.48
126,Florida Atlantic,CUSA (East),,3,9,-4.18,-10.42,-14.60,36.80,27.91,7.93,8.11,6.05,4.13,6.70,5.75
127,Buffalo,MAC (East),,2,10,-11.82,-6.42,-18.24,27.80,23.84,7.31,6.62,5.45,4.08,6.19,5.11
128,Texas State,Sun Belt,,2,10,-9.60,-9.26,-18.86,30.68,31.36,7.74,6.85,3.52,4.27,5.40,5.40
