,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
37,Oklahoma State,Big 12,,7,6,10.15,-3.33,6.82,55.69,13.58,9.61,5.48,6.13,3.57,7.66,4.55
38,North Carolina State,ACC (Atlantic),,9,4,2.18,4.62,6.80,48.37,9.38,9.49,6.29,5.07,3.11,7.14,4.89
39,Oregon,Pac-12 (North),,9,4,5.25,1.42,6.67,50.05,11.76,9.43,5.39,5.46,3.23,7.18,4.16
40,Miami (FL),ACC (Coastal),,7,6,-3.13,9.70,6.58,44.79,2.57,7.81,3.92,6.20,2.25,6.75,3.05
41,Duke,ACC (Coastal),,8,5,2.82,3.54,6.37,47.35,10.32,8.52,4.48,5.52,3.62,6.82,4.32
42,Vanderbilt,SEC (East),,6,7,3.50,2.75,6.25,47.46,7.79,9.69,5.44,6.40,3.61,7.85,4.53
43,Michigan State,Big Ten (East),,7,6,-5.90,11.91,6.01,37.35,-2.84,7.65,4.53,4.73,1.17,6.09,3.11
44,Pitt,ACC (Coastal),,7,7,1.25,4.45,5.70,44.57,8.16,8.28,5.33,6.88,3.38,7.29,4.42
45,Arizona State,Pac-12 (South),,7,6,5.20,0.17,5.37,48.35,11.63,9.44,5.73,6.19,3.70,7.57,4.59
46,Minnesota,Big Ten (West),,7,6,0.93,4.35,5.28,46.03,7.32,9.41,5.05,5.43,3.68,6.89,4.45
47,Texas Tech,Big 12,,5,7,5.12,-0.03,5.09,53.24,11.05,9.54,5.63,4.72,2.75,7.17,4.23
48,Boston College,ACC (Atlantic),,7,5,2.04,2.57,4.61,46.35,7.80,9.17,5.15,5.19,2.77,6.57,3.93
49,Ohio,MAC (East),,9,4,6.67,-2.16,4.51,52.37,13.84,9.78,6.84,6.98,3.84,7.93,5.50
50,Texas Christian,Big 12,,7,6,-4.55,8.43,3.88,40.42,3.15,8.43,4.19,5.36,2.58,6.59,3.32
51,Georgia Southern,Sun Belt (East),,10,3,0.20,3.60,3.80,41.52,9.71,9.76,6.15,6.13,3.07,6.69,4.55
52,Nebraska,Big Ten (West),,4,8,5.53,-2.04,3.48,49.23,14.03,9.10,5.16,6.93,3.90,7.77,4.56
53,Baylor,Big 12,,7,6,3.71,-0.47,3.25,46.93,13.81,9.38,5.74,5.63,4.40,7.30,5.13
54,BYU,Ind,,7,6,-2.17,5.24,3.07,40.95,6.12,8.61,4.44,5.27,2.74,6.68,3.57
55,Troy,Sun Belt (East),,10,3,-1.62,4.67,3.05,41.25,9.21,8.28,6.03,5.22,2.20,6.46,4.07
56,Maryland,Big Ten (East),,5,7,2.87,0.01,2.88,47.85,10.52,9.17,5.82,7.10,3.31,7.71,4.38
57,Ole Miss,SEC (West),,5,7,7.00,-4.19,2.81,53.33,17.32,11.26,5.97,6.44,3.72,8.77,4.76
58,Georgia Tech,ACC (Coastal),,7,6,4.43,-1.66,2.76,49.96,13.35,10.56,6.11,6.54,3.19,7.32,4.64
59,Indiana,Big Ten (East),,5,7,3.90,-1.46,2.44,47.43,11.70,8.60,6.16,5.82,3.36,7.09,4.69
60,Wake Forest,ACC (Atlantic),,7,6,4.56,-2.15,2.41,49.04,17.12,8.41,5.60,5.76,3.58,6.67,4.70
61,Memphis,American (West),,8,6,7.75,-5.48,2.27,52.53,17.90,8.91,6.24,6.97,3.00,7.62,4.68
62,USC,Pac-12 (South),,5,7,0.55,1.68,2.22,42.74,9.79,9.35,4.84,5.22,3.37,7.21,4.01
63,UAB,CUSA (West),,11,3,-3.80,5.79,1.99,42.51,7.80,9.24,5.59,5.61,3.02,6.71,4.28
64,Temple,American (East),,8,5,2.30,-0.52,1.78,46.73,13.00,8.58,4.43,4.85,2.88,6.49,3.77
65,California,Pac-12 (North),,7,6,-5.72,7.39,1.67,37.00,5.34,7.60,4.11,5.19,2.81,6.27,3.27
66,Buffalo,MAC (East),,10,4,3.52,-1.95,1.57,48.22,15.06,9.00,5.92,5.48,3.54,6.85,4.78
67,Kansas State,Big 12,,5,7,-2.41,3.81,1.39,40.42,6.96,8.32,4.96,5.74,3.78,6.55,4.49
68,Houston,American (West),,8,5,10.81,-9.64,1.18,55.70,25.21,9.19,6.32,6.28,3.90,7.48,5.23
69,Arkansas State,Sun Belt (West),,8,5,0.00,0.92,0.92,41.80,13.56,8.64,5.51,5.47,3.62,6.92,4.59
70,Marshall,CUSA (East),,9,4,-1.21,1.90,0.69,39.88,10.89,7.82,5.75,5.26,2.51,6.33,4.19
71,Middle Tennessee State,CUSA (East),,8,6,1.28,-0.64,0.65,43.93,13.90,9.04,5.52,4.60,3.24,6.65,4.45
72,North Texas,CUSA (West),,9,4,1.51,-0.93,0.58,44.39,13.70,8.76,6.44,5.04,3.07,6.89,4.86
73,Tennessee,SEC (East),,5,7,-3.21,3.59,0.39,43.55,8.31,9.93,5.17,5.23,2.70,7.07,3.93
74,Virginia Tech,ACC (Coastal),,6,7,3.51,-3.88,-0.37,47.05,16.07,9.62,6.25,5.69,4.39,7.30,5.37
75,Florida International,CUSA (East),,9,4,0.32,-0.85,-0.53,45.11,14.24,9.08,5.96,5.58,4.40,7.03,5.10
76,Arizona,Pac-12 (South),,5,7,2.69,-3.27,-0.57,45.68,16.64,9.71,5.80,5.87,3.32,7.56,4.48
77,Toledo,MAC (West),,7,6,7.26,-7.95,-0.70,53.86,19.24,8.90,6.38,6.14,4.04,7.28,5.24
78,Miami (OH),MAC (East),,6,6,1.18,-1.90,-0.73,42.93,12.45,7.97,5.56,5.36,3.22,6.44,4.52
79,Tulane,American (West),,7,6,-2.86,2.00,-0.86,38.14,12.10,9.08,6.02,5.69,2.78,6.70,4.54
80,Eastern Michigan,MAC (West),,7,6,-1.30,0.14,-1.16,40.62,10.85,8.70,4.55,4.87,3.88,6.47,4.42
81,Colorado,Pac-12 (South),,5,7,-1.51,0.34,-1.17,41.73,12.42,8.85,5.30,4.58,2.77,6.62,3.87
82,Nevada,MWC (West),,8,5,-1.31,-0.32,-1.62,42.65,13.10,8.08,5.69,5.20,2.96,6.64,4.28
83,Florida State,ACC (Atlantic),,5,7,-1.22,-0.45,-1.67,40.26,13.34,8.97,5.62,4.13,2.28,6.54,4.02
84,Air Force,MWC (Mountain),,5,7,0.47,-2.19,-1.72,43.70,13.31,10.27,7.86,5.66,2.51,6.44,5.20
85,Northern Illinois,MAC (West),,8,6,-5.55,3.63,-1.92,36.16,8.03,7.14,5.99,5.07,1.88,5.80,3.88
86,UCLA,Pac-12 (South),,3,9,1.68,-3.87,-2.19,45.09,15.66,9.29,5.62,5.67,3.46,7.29,4.35
87,Louisiana,Sun Belt (West),,7,7,4.76,-7.23,-2.46,46.24,21.55,9.61,7.39,6.63,3.83,7.67,5.24
88,Florida Atlantic,CUSA (East),,5,7,1.02,-3.75,-2.73,44.08,17.49,8.78,5.95,6.13,3.78,7.00,4.87
89,San Diego State,MWC (West),,7,6,-7.68,4.36,-3.32,33.64,7.30,8.65,5.94,4.92,2.31,6.19,4.09
90,Wyoming,MWC (Mountain),,6,6,-9.14,5.69,-3.45,32.64,5.92,6.35,4.49,5.80,3.22,5.90,3.79
91,Southern Mississippi,CUSA (West),,6,5,-4.20,0.02,-4.18,38.86,11.76,7.87,5.01,4.14,2.92,5.89,4.08
92,Arkansas,SEC (West),,2,10,-3.67,-0.96,-4.63,41.14,15.36,8.05,6.27,5.46,2.77,6.48,4.28
93,North Carolina,ACC (Coastal),,2,9,2.63,-7.38,-4.75,44.17,19.69,8.32,6.04,6.44,4.01,7.21,5.01
94,Louisiana Tech,CUSA (West),,8,5,-5.29,0.51,-4.78,37.05,13.01,7.76,5.48,4.84,3.46,6.25,4.44
95,Kansas,Big 12,,3,9,-3.30,-1.56,-4.86,41.02,12.89,7.78,6.41,5.67,3.49,6.52,4.82
96,Western Michigan,MAC (West),,7,6,0.29,-5.22,-4.92,45.57,21.22,9.25,7.80,5.35,3.64,6.86,5.43
97,SMU,American (West),,5,7,2.39,-7.77,-5.38,43.87,20.22,8.20,5.95,4.34,3.03,6.24,4.49
98,Louisiana-Monroe,Sun Belt (West),,6,6,-3.05,-2.45,-5.50,38.01,19.37,8.50,7.44,5.65,3.49,6.92,5.27
99,Illinois,Big Ten (West),,4,8,-0.15,-5.90,-6.05,42.86,24.11,7.76,7.26,7.14,4.66,7.31,5.89
100,Hawaii,MWC (West),,8,6,4.32,-10.45,-6.13,45.22,24.47,9.08,7.38,4.60,4.25,7.03,5.69
101,South Florida,American (East),,7,6,-1.11,-5.17,-6.28,38.45,18.27,8.18,5.90,5.63,4.02,6.67,4.90
102,Navy,American (West),,3,10,-2.77,-4.32,-7.09,39.32,17.35,8.70,6.71,6.14,4.09,6.39,5.56
103,Charlotte,CUSA (East),,5,7,-6.35,-0.98,-7.33,34.42,13.97,8.53,7.10,4.61,2.83,5.96,4.96
104,Liberty,Ind,,6,6,0.36,-9.49,-9.12,43.19,25.55,7.85,6.40,4.72,4.89,6.15,5.73
105,Coastal Carolina,Sun Belt (East),,5,7,-2.63,-6.55,-9.17,38.45,20.22,8.98,6.98,5.50,5.50,6.62,6.26
106,Rutgers,Big Ten (East),,1,11,-11.77,2.12,-9.65,32.55,13.38,6.28,4.89,5.19,3.78,5.53,4.35
107,Tulsa,American (West),,3,9,-6.97,-2.77,-9.74,34.23,15.58,7.76,5.59,5.01,4.02,5.85,4.74
108,Louisville,ACC (Atlantic),,2,10,-3.61,-6.23,-9.84,39.16,25.67,8.22,6.57,5.80,4.91,6.81,5.59
109,Nevada-Las Vegas,MWC (West),,4,8,-0.68,-9.30,-9.98,41.42,24.99,6.69,7.07,5.90,4.53,6.14,5.76
110,Ball State,MAC (West),,4,8,-5.40,-5.10,-10.49,37.68,19.80,7.61,6.30,5.14,4.36,6.28,5.21
111,Oregon State,Pac-12 (North),,2,10,0.63,-11.49,-10.86,43.32,28.96,8.85,6.38,5.05,6.00,6.78,6.01
112,Massachusetts,Ind,,4,8,2.36,-13.42,-11.06,45.39,29.64,9.74,7.51,4.55,4.76,7.02,5.91
113,East Carolina,American (East),,3,9,-7.93,-3.15,-11.08,33.23,21.81,7.06,7.17,4.30,3.06,5.67,5.02
114,New Mexico,MWC (Mountain),,3,9,-3.64,-7.66,-11.30,39.87,22.80,8.29,7.51,4.52,3.95,5.81,5.49
115,Akron,MAC (East),,4,8,-9.64,-2.02,-11.66,33.44,14.95,7.84,5.19,4.08,3.96,5.78,4.54
116,Colorado State,MWC (Mountain),,3,9,-5.35,-7.39,-12.74,36.36,22.18,8.33,7.90,4.40,4.69,6.56,5.95
117,Old Dominion,CUSA (East),,4,8,-2.40,-10.47,-12.87,41.33,25.64,8.19,6.62,4.42,4.72,6.26,5.63
118,San Jose State,MWC (West),,1,11,-5.60,-7.33,-12.93,36.27,22.31,8.17,6.87,3.01,3.95,5.80,5.29
119,South Alabama,Sun Belt (West),,3,9,-5.30,-8.26,-13.56,36.98,25.63,8.80,7.89,4.64,3.80,6.19,5.62
120,Western Kentucky,CUSA (East),,3,9,-9.34,-4.78,-14.11,31.84,17.37,7.38,6.43,4.30,3.82,5.72,5.13
121,Georgia State,Sun Belt (East),,2,10,-4.95,-9.46,-14.41,36.40,24.20,7.95,8.11,5.43,5.40,6.41,6.67
122,Texas State,Sun Belt (West),,3,9,-9.84,-4.66,-14.50,30.00,18.11,7.25,5.48,4.76,3.73,5.77,4.67
123,Kent State,MAC (East),,2,10,-7.93,-7.13,-15.05,35.40,21.51,7.34,7.11,4.73,3.78,5.80,5.13
124,Bowling Green,MAC (East),,3,9,-6.03,-9.09,-15.11,36.38,25.42,8.19,6.54,4.21,4.89,6.10,5.58
125,Central Michigan,MAC (West),,1,11,-13.25,-2.51,-15.76,29.25,15.46,5.80,5.00,4.20,3.76,4.81,4.26
126,UTSA,CUSA (West),,3,9,-13.77,-2.63,-16.40,28.62,20.37,6.12,8.42,3.76,3.48,4.84,5.69
127,New Mexico State,Ind,,3,9,-4.85,-12.74,-17.59,36.61,29.86,7.12,6.74,4.19,4.29,5.81,5.31
128,Connecticut,American (East),,1,11,-7.24,-11.76,-18.99,34.44,34.86,7.35,9.53,5.86,6.94,6.35,7.96
129,Rice,CUSA (West),,2,11,-11.13,-8.05,-19.18,29.91,23.18,7.27,8.26,4.56,4.29,5.62,6.18
130,UTEP,CUSA (West),,1,11,-12.53,-10.34,-22.88,28.47,24.02,7.67,6.85,4.32,4.70,5.65,5.57
