,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Clemson,ACC (Atlantic),1,15,0,9.41,17.04,26.45,61.90,-5.80,10.00,4.36,7.97,1.35,8.73,2.88
2,Alabama,SEC (West),2,14,1,12.19,13.10,25.29,64.54,-3.29,12.98,4.01,6.82,1.67,9.35,2.94
3,Georgia,SEC (East),7,11,3,9.53,11.17,20.69,57.85,-1.14,10.97,3.46,7.46,2.73,8.70,3.29
4,Oklahoma,Big 12,4,12,2,21.41,-3.35,18.06,68.70,13.55,13.26,5.99,8.10,2.95,10.19,4.64
5,Ohio State,Big Ten (East),3,13,1,15.24,2.50,17.74,62.53,8.99,11.12,5.42,5.69,3.29,8.21,4.51
6,Notre Dame,Ind,5,12,1,5.57,11.84,17.40,50.14,-0.14,9.80,3.78,5.73,2.59,7.35,3.32
7,Michigan,Big Ten (East),14,10,3,5.92,10.56,16.47,54.84,0.39,10.03,4.00,6.27,2.45,7.61,3.19
8,LSU,SEC (West),6,10,3,8.40,6.81,15.20,52.79,2.34,9.73,3.78,5.63,2.17,7.19,3.11
9,UCF,American (East),11,12,1,10.24,4.29,14.53,54.72,8.41,9.73,5.61,6.75,3.50,7.80,4.54
10,Florida,SEC (East),7,10,3,5.91,7.75,13.66,54.60,3.01,9.67,4.14,6.78,3.00,7.86,3.58
11,Texas A&M,SEC (West),16,9,4,10.78,2.82,13.61,57.57,5.61,9.48,5.91,7.07,1.65,8.02,4.01
12,Mississippi State,SEC (West),,8,5,-2.98,16.22,13.24,48.69,-6.24,9.01,3.40,7.25,1.39,7.83,2.52
13,Iowa,Big Ten (West),25,9,4,3.60,9.53,13.14,49.89,0.99,8.94,4.44,5.33,1.73,6.83,3.15
14,Missouri,SEC (East),,8,5,9.51,3.63,13.14,56.47,5.80,10.18,5.53,6.19,2.03,7.85,3.93
15,West Virginia,Big 12,20,8,4,10.45,2.14,12.60,57.94,8.46,11.24,5.94,5.82,2.93,8.40,4.44
16,Fresno State,MWC (West),18,12,2,-0.04,12.36,12.32,47.52,0.07,9.50,4.78,5.27,2.94,7.17,3.84
17,Penn State,Big Ten (East),17,9,4,5.05,7.27,12.32,54.17,3.07,9.43,4.39,6.55,2.35,7.65,3.37
18,Washington State,Pac-12 (North),10,11,2,10.05,2.14,12.19,54.03,10.41,9.11,5.60,4.82,3.54,7.63,4.48
19,Syracuse,ACC (Atlantic),15,10,3,10.39,1.75,12.14,54.29,10.12,8.64,5.81,5.35,3.06,6.67,4.50
20,Kentucky,SEC (East),12,10,3,0.57,11.49,12.06,46.10,-1.67,9.27,4.61,6.40,2.62,7.34,3.63
21,Washington,Pac-12 (North),13,10,4,-0.20,11.62,11.42,43.76,-0.90,10.21,3.96,5.57,2.64,7.49,3.28
22,Texas,Big 12,9,10,4,5.83,5.33,11.15,49.92,4.40,9.54,4.83,5.05,2.18,6.96,3.68
23,Auburn,SEC (West),,8,5,0.59,10.17,10.76,50.71,-0.41,9.78,4.49,5.88,2.35,7.38,3.47
24,Utah,Pac-12 (South),,9,5,1.68,8.23,9.91,46.43,4.30,9.28,4.63,5.91,2.18,7.28,3.37
25,Appalachian State,Sun Belt (East),,11,2,0.09,9.68,9.76,48.68,4.00,8.52,4.28,6.56,2.48,7.21,3.52
26,Utah State,MWC (Mountain),22,11,2,7.51,2.08,9.58,59.21,11.16,8.98,5.91,6.50,3.13,7.63,4.43
27,Boise State,MWC (Mountain),23,10,3,5.61,3.09,8.69,51.66,7.88,9.38,6.63,5.26,2.72,7.13,4.70
28,Iowa State,Big 12,,8,5,1.25,6.53,7.78,44.33,3.75,10.47,4.97,4.85,2.26,7.17,3.60
29,Stanford,Pac-12 (North),,9,4,3.50,4.21,7.71,46.08,7.81,10.42,5.70,4.75,2.98,7.62,4.36
30,Wisconsin,Big Ten (West),,8,5,3.50,4.17,7.68,48.37,6.32,8.73,5.54,7.54,3.24,7.90,4.39
31,Northwestern,Big Ten (West),21,9,5,2.41,5.10,7.51,44.67,5.18,8.64,5.68,4.47,2.44,6.34,4.21
32,South Carolina,SEC (East),,7,6,5.42,1.92,7.34,50.45,7.95,10.01,4.85,5.87,2.95,7.75,3.90
33,Army,Ind,19,11,2,-3.18,10.45,7.27,42.26,2.52,11.57,5.92,5.56,3.02,6.12,4.57
34,Cincinnati,American (East),24,11,2,-2.43,9.58,7.15,45.57,3.86,8.54,4.91,5.82,2.25,6.75,3.70
35,Virginia,ACC (Coastal),,8,5,-0.26,7.38,7.11,42.18,3.42,9.10,4.89,5.24,2.95,6.72,3.97
36,Purdue,Big Ten (West),,6,7,5.72,1.32,7.04,51.38,10.67,9.85,5.91,5.93,3.05,7.86,4.58
