,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Georgia,SEC (East),1,15,0,9.99,15.49,25.48,59.26,-6.21,11.04,4.10,6.88,1.34,8.71,3.09
2,Michigan,Big Ten (East),3,13,1,10.53,10.06,20.59,58.59,0.22,10.44,4.28,6.88,2.21,8.20,3.40
3,Ohio State,Big Ten (East),4,11,2,14.17,5.64,19.82,64.76,3.04,11.88,5.51,6.99,2.40,9.17,3.89
4,Alabama,SEC (West),5,11,2,9.89,9.77,19.66,58.62,-1.02,10.45,3.47,6.76,2.02,8.41,2.87
5,Tennessee,SEC (East),6,11,2,13.04,4.86,17.90,64.77,5.24,12.22,5.26,6.43,1.97,8.86,3.85
6,Penn State,Big Ten (East),7,11,2,7.77,9.79,17.56,54.17,-0.57,9.70,3.81,6.08,1.96,7.66,3.07
7,Texas Christian,Big 12,2,13,2,13.45,3.20,16.65,58.15,7.41,10.80,5.17,6.60,2.62,8.33,3.96
8,Kansas State,Big 12,14,10,4,6.86,9.30,16.16,51.64,-0.32,9.76,4.50,6.76,2.70,7.88,3.72
9,Texas,Big 12,25,8,5,6.17,9.76,15.92,53.26,-1.52,9.78,3.89,6.75,1.90,8.02,3.05
10,Utah,Pac-12,10,10,4,7.71,7.09,14.80,54.01,3.31,9.63,5.47,6.18,2.71,7.60,4.20
11,Florida State,ACC (Atlantic),11,10,3,8.89,5.88,14.77,54.03,4.20,10.82,4.33,6.87,2.86,8.52,3.48
12,Clemson,ACC (Atlantic),13,11,3,6.65,6.93,13.59,49.43,2.92,8.68,4.44,5.71,2.24,7.00,3.53
13,Oregon,Pac-12,15,10,3,10.86,2.58,13.44,54.67,9.34,10.24,5.12,6.48,2.98,8.06,4.20
14,LSU,SEC (West),16,10,4,6.83,6.45,13.29,53.82,2.31,10.14,4.47,6.35,2.33,8.04,3.41
15,Oregon State,Pac-12,17,10,3,5.31,7.33,12.64,47.60,3.00,9.73,4.52,5.68,2.71,7.17,3.76
16,USC,Pac-12,12,11,3,14.16,-2.03,12.13,58.34,11.86,11.12,6.08,5.85,3.89,8.42,5.10
17,Mississippi State,SEC (West),20,9,4,6.17,5.67,11.84,50.90,4.36,8.68,4.14,4.90,2.42,7.15,3.39
18,Washington,Pac-12,8,11,2,10.76,0.80,11.56,54.85,10.09,10.10,6.11,5.53,2.41,8.01,4.22
19,Tulane,American,9,12,2,6.17,5.37,11.53,49.95,4.93,10.25,4.44,6.01,2.65,7.63,3.54
20,Notre Dame,Ind,18,9,4,5.69,5.11,10.80,48.89,5.14,9.77,4.23,5.84,2.88,7.26,3.64
21,Louisville,ACC (Atlantic),,8,5,2.30,8.13,10.44,45.89,1.53,9.44,5.04,6.57,2.44,7.66,3.62
22,Illinois,Big Ten (West),,8,5,-1.34,11.36,10.01,42.47,-1.61,9.10,3.98,5.33,2.33,6.85,3.27
23,Texas Tech,Big 12,,8,5,8.45,1.23,9.68,53.03,8.29,9.04,5.74,5.45,2.63,7.13,4.13
24,Wake Forest,ACC (Atlantic),,8,5,10.69,-1.72,8.98,53.26,12.49,10.49,5.69,4.58,2.58,7.30,4.34
25,UCLA,Pac-12,21,9,4,10.72,-1.83,8.88,52.78,12.30,9.80,5.45,6.74,2.90,7.99,4.24
26,Oklahoma,Big 12,,6,7,7.12,1.40,8.52,52.12,9.15,10.10,4.92,6.42,2.86,7.87,3.98
27,Minnesota,Big Ten (West),,9,4,-0.79,9.27,8.48,45.48,0.78,10.57,4.67,5.89,2.93,7.46,3.95
28,Ole Miss,SEC (West),,8,5,6.81,1.55,8.36,52.01,8.40,10.30,4.66,6.68,2.98,8.06,3.83
29,Iowa,Big Ten (West),,8,5,-4.35,12.26,7.91,36.96,-1.81,7.94,3.38,4.29,1.80,5.85,2.71
30,Pitt,ACC (Coastal),22,9,4,6.07,1.73,7.80,47.30,8.75,8.93,5.02,5.89,2.06,7.12,3.80
31,South Carolina,SEC (East),23,8,5,6.50,1.21,7.71,49.88,10.88,9.89,4.33,5.05,3.54,7.33,4.05
32,Duke,ACC (Coastal),,9,4,5.47,1.93,7.39,46.98,8.58,9.09,5.63,6.07,2.92,7.36,4.40
33,Florida,SEC (East),,6,7,6.60,0.32,6.92,49.20,8.82,10.14,5.35,6.80,2.92,8.13,4.12
34,North Carolina State,ACC (Atlantic),,8,5,-1.53,8.28,6.75,40.99,2.15,7.96,4.52,4.67,2.24,6.23,3.58
35,Maryland,Big Ten (East),,8,5,1.99,4.69,6.68,45.56,4.78,9.42,4.45,5.15,2.74,7.15,3.66
36,Troy,Sun Belt (West),19,12,2,-1.13,7.55,6.42,38.97,3.49,9.98,4.27,4.33,2.51,6.71,3.60
