,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
37,Syracuse,ACC (Atlantic),,7,6,1.78,4.64,6.41,46.04,7.07,10.23,4.77,5.58,2.61,7.56,3.60
38,Kansas,Big 12,,6,7,10.15,-3.88,6.27,54.12,14.31,10.82,5.79,6.88,3.22,8.52,4.41
39,Baylor,Big 12,,6,7,4.72,1.47,6.19,50.25,7.79,9.52,5.03,5.89,2.32,7.30,3.76
40,Kentucky,SEC (East),,7,6,-3.12,9.17,6.05,38.68,1.14,9.78,4.45,4.73,2.87,6.76,3.67
41,Arkansas,SEC (West),,7,6,8.99,-3.05,5.95,50.86,11.80,10.99,6.45,6.43,3.02,8.15,4.73
42,Cincinnati,American,,9,4,0.17,5.68,5.85,42.99,5.18,8.91,4.28,4.99,2.36,6.80,3.32
43,UCF,American,,9,5,2.98,2.76,5.74,48.47,8.07,9.13,5.07,6.37,3.32,7.45,4.36
44,Iowa State,Big 12,,4,8,-5.02,10.73,5.71,38.16,-0.73,8.49,4.56,4.74,1.67,6.61,3.06
45,North Carolina,ACC (Coastal),,9,5,9.75,-4.23,5.52,50.89,14.98,10.09,6.25,5.64,3.42,7.74,4.94
46,James Madison,Sun Belt (East),,8,3,2.33,3.03,5.37,49.36,8.59,10.10,5.92,5.39,1.65,7.20,3.75
47,UTSA,CUSA (West),,11,3,7.21,-1.84,5.36,48.32,13.12,9.94,5.55,5.09,3.07,7.31,4.37
48,Oklahoma State,Big 12,,7,6,3.83,1.34,5.16,48.71,9.35,8.85,4.73,4.88,3.09,6.84,4.05
49,Missouri,SEC (East),,6,7,0.05,4.90,4.95,41.35,5.71,8.94,4.64,5.23,2.19,6.74,3.50
50,Fresno State,MWC (West),24,10,4,0.93,3.55,4.48,43.07,9.22,9.35,5.32,4.89,3.41,6.99,4.40
51,East Carolina,American,,8,5,5.85,-1.43,4.41,47.28,12.64,9.26,6.88,6.45,2.42,7.79,4.86
52,Wisconsin,Big Ten (West),,7,6,-0.66,5.03,4.37,45.26,4.82,9.42,5.25,5.91,2.03,7.25,3.57
53,Memphis,American,,7,6,4.14,0.00,4.14,48.19,10.18,9.47,5.21,4.76,2.58,6.88,4.02
54,Air Force,MWC (Mountain),,10,3,-2.50,6.63,4.13,39.05,5.74,11.94,6.24,6.21,2.64,6.77,4.59
55,Auburn,SEC (West),,5,7,3.30,0.60,3.90,45.24,9.15,9.08,4.22,6.67,3.14,7.52,3.67
56,Houston,American,,8,5,7.74,-3.94,3.80,49.96,14.29,9.65,5.47,5.62,3.01,7.70,4.48
57,SMU,American,,7,6,9.25,-5.56,3.69,51.93,16.33,9.71,5.22,5.21,3.64,7.34,4.47
58,Purdue,Big Ten (West),,8,6,3.14,0.48,3.62,46.95,10.88,9.07,5.68,5.08,3.08,7.12,4.46
59,Washington State,Pac-12,,7,6,-0.70,4.24,3.55,41.79,6.11,8.32,5.46,4.63,3.02,6.55,4.34
60,Boise State,MWC (Mountain),,10,4,1.36,2.18,3.54,42.27,10.55,8.31,5.15,5.87,2.69,6.77,3.98
61,Texas A&M,SEC (West),,5,7,-2.68,5.89,3.21,39.26,2.53,8.67,3.63,5.84,3.30,7.20,3.49
62,West Virginia,Big 12,,5,7,5.05,-2.16,2.90,49.46,12.87,8.49,6.15,6.18,2.64,7.16,4.41
63,South Alabama,Sun Belt (West),,10,3,0.79,1.67,2.46,42.76,9.31,9.19,5.28,4.72,2.64,6.74,4.18
64,Marshall,Sun Belt (East),,9,4,-5.52,7.87,2.36,36.35,3.75,8.06,4.71,5.43,2.04,6.36,3.54
65,BYU,Ind,,8,5,3.57,-1.59,1.98,44.25,13.45,9.87,5.84,6.12,3.15,7.75,4.51
66,Western Kentucky,CUSA (East),,9,5,1.15,-0.13,1.01,46.82,12.28,9.22,5.33,5.49,3.26,7.59,4.32
67,Michigan State,Big Ten (East),,5,7,0.39,0.58,0.98,44.82,8.73,9.09,5.99,5.35,3.06,7.21,4.35
68,Appalachian State,Sun Belt (East),,6,6,4.83,-4.21,0.63,48.19,15.00,9.76,5.69,6.23,2.84,7.64,4.27
69,Ohio,MAC (East),,10,4,4.57,-4.91,-0.34,44.26,18.82,9.70,7.29,4.98,3.66,7.19,5.62
70,Toledo,MAC (West),,9,5,-0.17,-0.23,-0.40,41.85,14.81,8.07,5.12,5.07,3.13,6.33,4.13
71,Louisiana,Sun Belt (West),,6,7,-2.19,1.69,-0.50,39.08,10.02,8.07,5.18,4.93,3.31,6.33,4.28
72,Army,Ind,,6,6,-1.27,0.65,-0.62,40.17,12.08,9.88,5.13,6.35,4.41,6.69,5.01
73,UAB,CUSA (West),,7,6,-3.01,2.03,-0.98,39.94,9.77,9.44,4.78,6.24,3.82,7.46,4.22
74,California,Pac-12,,4,8,-2.57,1.48,-1.08,37.99,9.89,8.54,5.35,4.38,3.05,6.62,4.31
75,Vanderbilt,SEC (East),,5,7,-1.70,0.56,-1.14,41.85,16.27,8.45,6.39,5.66,3.72,6.75,5.24
76,Arizona,Pac-12,,5,7,6.21,-7.79,-1.58,46.46,18.82,10.03,5.96,5.90,4.57,8.01,5.18
77,Nebraska,Big Ten (West),,4,8,-0.12,-2.02,-2.14,40.88,11.95,9.95,5.05,4.80,3.43,7.01,4.29
78,Liberty,Ind,,8,5,0.97,-3.12,-2.15,39.58,14.30,8.32,5.36,5.42,2.87,6.67,4.02
79,Navy,American,,4,8,-4.42,1.86,-2.56,36.72,8.03,9.88,6.51,5.11,1.83,5.88,4.46
80,North Texas,CUSA (West),,7,7,2.86,-5.57,-2.71,44.28,18.43,9.93,6.08,5.81,4.10,7.61,5.03
81,Miami (FL),ACC (Coastal),,5,7,-3.85,0.95,-2.91,40.07,12.72,8.87,6.92,5.00,2.98,6.78,4.76
82,Indiana,Big Ten (East),,4,8,1.44,-4.50,-3.05,42.66,15.25,7.64,5.99,4.76,2.95,6.17,4.33
83,Coastal Carolina,Sun Belt (East),,9,4,2.55,-5.67,-3.12,42.69,18.75,10.25,7.47,5.00,2.95,7.06,5.36
84,Georgia Tech,ACC (Coastal),,5,7,-5.33,2.05,-3.29,35.25,10.38,7.96,5.04,5.16,3.04,6.33,3.96
85,San Diego State,MWC (West),,7,6,-5.96,2.60,-3.36,32.94,9.46,8.02,5.32,4.84,2.62,6.08,4.14
86,Stanford,Pac-12,,3,9,-3.20,-0.21,-3.41,38.20,12.57,8.57,4.97,4.50,4.78,6.51,4.88
87,Southern Mississippi,Sun Belt (West),,7,6,-3.97,0.08,-3.89,37.97,11.57,9.17,5.81,4.86,3.14,6.59,4.50
88,San Jose State,MWC (West),,7,5,-2.45,-1.47,-3.92,37.39,14.80,8.89,6.82,4.02,2.61,6.57,4.58
89,Georgia Southern,Sun Belt (East),,6,7,4.23,-8.30,-4.07,46.68,19.31,8.52,6.20,5.91,4.66,7.37,5.51
90,Tulsa,American,,5,7,1.74,-6.16,-4.42,43.64,17.94,9.47,5.66,4.93,3.78,7.02,4.68
91,Georgia State,Sun Belt (East),,4,8,1.49,-6.19,-4.71,42.77,16.02,9.40,5.50,5.33,3.24,6.64,4.37
92,Arizona State,Pac-12,,3,9,-1.68,-3.37,-5.06,40.23,13.37,9.04,5.04,4.91,4.19,6.87,4.60
93,Rutgers,Big Ten (East),,4,8,-7.53,2.44,-5.09,36.41,12.21,7.66,4.54,4.95,3.08,6.06,3.82
94,Kent State,MAC (East),,5,7,-2.17,-3.22,-5.38,40.66,15.31,8.62,6.91,5.64,3.19,6.73,4.84
95,Wyoming,MWC (Mountain),,7,6,-4.64,-0.95,-5.59,33.49,14.14,6.90,5.04,5.81,3.53,6.14,4.51
96,Boston College,ACC (Atlantic),,3,9,-4.34,-1.33,-5.67,35.81,14.58,8.83,5.68,3.44,3.18,6.22,4.38
97,Buffalo,MAC (East),,7,6,-1.41,-4.34,-5.74,38.00,16.25,7.40,6.14,4.10,4.47,5.55,5.34
98,Connecticut,Ind,,6,7,-5.70,-0.08,-5.78,33.40,15.89,7.02,5.86,5.72,3.63,6.17,4.78
99,Middle Tennessee State,CUSA (East),,8,5,-1.31,-4.50,-5.82,39.12,17.63,7.82,6.09,3.78,2.78,5.86,4.62
100,Virginia,ACC (Coastal),,3,7,-6.49,0.64,-5.85,34.13,9.72,8.09,4.87,5.07,2.57,6.53,3.63
101,Florida Atlantic,CUSA (East),,5,7,-2.34,-4.10,-6.44,39.32,14.77,8.15,5.86,5.03,4.17,6.34,4.95
102,Eastern Michigan,MAC (West),,9,4,0.70,-7.48,-6.78,40.13,20.43,8.41,6.70,4.35,3.83,6.13,5.19
103,Virginia Tech,ACC (Coastal),,3,8,-6.39,-0.38,-6.78,33.99,11.35,7.87,5.60,4.40,3.00,5.94,4.31
104,Nevada-Las Vegas,MWC (West),,5,7,-2.08,-5.31,-7.40,38.20,19.47,8.38,6.34,4.92,3.24,6.44,4.79
105,Northwestern,Big Ten (West),,1,11,-7.71,0.28,-7.43,34.25,11.55,8.25,5.06,4.68,3.50,6.22,4.18
106,Ball State,MAC (West),,5,7,-6.17,-1.41,-7.58,33.58,14.60,6.57,5.17,5.26,3.19,5.87,4.16
107,Temple,American,,3,9,-6.17,-1.55,-7.72,35.20,15.21,8.03,5.79,4.15,3.47,6.29,4.53
108,Louisiana-Monroe,Sun Belt (West),,4,8,-2.67,-5.15,-7.81,38.04,20.32,9.22,6.23,4.66,3.96,6.52,5.11
109,Miami (OH),MAC (East),,6,7,-6.65,-1.67,-8.32,32.28,13.32,7.58,6.00,4.55,3.34,5.79,4.74
110,New Mexico State,Ind,,7,6,-7.87,-0.46,-8.33,35.23,17.53,8.22,5.89,5.38,3.38,6.50,4.60
111,Old Dominion,Sun Belt (East),,3,9,-8.15,-0.20,-8.35,33.70,11.88,8.46,6.51,4.96,3.15,6.83,4.54
112,UTEP,CUSA (West),,5,7,-6.08,-3.07,-9.15,33.52,15.47,8.09,6.92,4.84,3.38,6.26,4.97
113,Rice,CUSA (West),,5,8,-5.07,-4.38,-9.45,36.13,19.93,8.74,6.06,4.45,4.49,6.40,5.15
114,Utah State,MWC (Mountain),,6,7,-3.85,-5.67,-9.52,35.01,21.11,7.79,5.93,4.80,3.79,5.94,4.91
115,Texas State,Sun Belt (West),,4,8,-7.73,-2.31,-10.04,33.26,14.32,7.35,5.58,4.36,2.90,5.84,4.44
116,South Florida,American,,1,11,1.65,-11.76,-10.11,43.16,23.79,8.83,7.02,6.53,4.75,7.42,5.80
117,Central Michigan,MAC (West),,4,8,-4.95,-5.71,-10.66,36.23,16.93,7.73,6.18,5.23,3.36,6.31,4.64
118,Arkansas State,Sun Belt (West),,3,9,-3.03,-7.74,-10.77,39.79,18.86,8.32,6.65,3.97,3.41,6.07,4.84
119,Bowling Green,MAC (East),,6,7,-2.99,-8.00,-10.99,35.84,21.54,8.19,6.64,4.09,3.64,6.10,5.09
120,Western Michigan,MAC (West),,5,7,-11.28,-0.43,-11.72,29.36,13.10,6.88,6.32,4.48,3.30,5.41,4.69
121,Northern Illinois,MAC (West),,3,9,-1.24,-10.62,-11.86,38.29,23.24,7.81,7.53,5.54,3.32,6.41,5.27
122,Colorado,Pac-12,,1,11,-8.64,-3.45,-12.08,33.90,22.65,7.59,5.83,4.48,4.45,5.80,5.23
123,Louisiana Tech,CUSA (West),,3,9,-0.22,-12.44,-12.66,40.15,26.49,8.63,5.62,4.54,5.50,6.58,5.56
124,Akron,MAC (East),,2,10,-9.07,-4.42,-13.49,32.27,20.61,7.58,6.97,3.72,3.51,5.87,5.09
125,Hawaii,MWC (West),,3,10,-7.19,-7.12,-14.31,31.54,24.49,6.85,6.85,5.33,4.82,5.98,5.76
126,Colorado State,MWC (Mountain),,3,9,-13.35,-1.29,-14.63,25.32,17.21,8.58,5.56,3.75,3.37,5.80,4.54
127,Nevada,MWC (West),,2,10,-6.91,-8.71,-15.62,32.13,22.98,7.04,6.63,4.44,3.72,5.55,5.21
128,New Mexico,MWC (Mountain),,2,10,-14.46,-1.63,-16.09,26.27,16.68,6.40,6.28,4.40,3.20,5.05,4.74
129,Charlotte,CUSA (East),,3,9,-4.95,-11.28,-16.23,34.88,27.72,9.10,8.44,4.24,4.57,6.73,6.17
130,Florida International,CUSA (East),,4,8,-11.17,-6.28,-17.44,27.57,26.57,6.66,6.59,4.04,4.04,5.41,5.15
131,Massachusetts,Ind,,1,11,-15.11,-4.15,-19.26,24.82,20.03,6.66,6.87,4.12,4.20,5.06,5.30
