,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Ohio State,Big Ten,1,14,2,10.04,15.16,25.21,58.01,-7.98,11.73,3.87,6.83,0.98,9.06,2.33
2,Notre Dame,Ind,2,14,2,9.48,12.21,21.69,58.19,-4.30,9.35,3.56,7.49,2.03,8.27,2.82
3,Oregon,Big Ten,3,13,1,12.74,7.31,20.04,55.53,1.67,10.75,3.94,6.23,2.63,8.33,3.29
4,Penn State,Big Ten,5,13,3,7.72,11.88,19.60,53.31,-3.16,10.54,4.25,6.93,1.56,8.42,2.80
5,Texas,SEC,4,13,3,5.78,13.53,19.30,55.50,-5.70,10.59,3.33,6.21,1.57,8.29,2.46
6,Ole Miss,SEC,11,10,3,4.98,11.59,16.57,57.21,-3.11,12.38,4.65,6.02,1.22,9.00,2.88
7,Georgia,SEC,6,11,3,9.09,7.27,16.37,54.33,-1.65,10.11,4.00,5.85,1.92,8.14,2.92
8,Indiana,Big Ten,10,11,2,7.30,9.03,16.33,60.08,0.47,11.62,3.75,6.04,1.69,8.36,2.75
9,Alabama,SEC,17,9,4,6.40,8.93,15.33,55.55,-1.55,10.82,4.11,6.42,2.35,8.26,3.13
10,South Carolina,SEC,19,9,4,6.22,8.57,14.78,51.50,-1.78,10.49,4.59,5.89,1.73,7.68,3.08
11,Miami (FL),ACC,18,10,3,13.50,0.70,14.20,60.56,8.63,11.10,5.01,6.99,2.76,9.10,3.87
12,SMU,ACC,12,11,3,9.81,4.38,14.19,54.82,5.03,10.43,4.65,5.88,1.71,7.90,3.17
13,LSU,SEC,,9,4,8.78,4.58,13.36,52.36,2.92,9.76,5.01,5.94,2.68,8.12,3.85
14,BYU,Big 12,13,11,2,7.21,5.88,13.09,48.19,3.17,9.76,4.09,6.00,2.58,7.73,3.27
15,Louisville,ACC,,9,4,9.17,3.88,13.05,54.82,4.15,10.01,5.25,7.14,2.14,8.53,3.65
16,Clemson,ACC,14,10,4,7.96,4.27,12.23,53.19,4.93,9.18,4.43,6.77,3.49,8.01,3.96
17,Arizona State,Big 12,7,11,3,6.59,5.26,11.85,51.15,3.95,10.39,4.64,6.00,2.02,7.79,3.37
18,USC,Big Ten,,7,6,7.88,3.41,11.29,52.84,3.91,9.68,4.99,6.96,2.96,8.40,3.99
19,Iowa,Big Ten,,8,5,4.47,6.50,10.97,48.48,2.09,8.81,4.34,6.85,2.68,7.53,3.51
20,Tennessee,SEC,9,10,3,0.90,9.99,10.89,54.03,-1.93,9.54,4.17,6.45,1.72,7.75,2.89
21,Iowa State,Big 12,15,11,3,6.15,4.65,10.80,48.07,4.41,9.23,4.29,5.75,3.56,7.41,3.90
22,Michigan,Big Ten,,8,5,1.72,9.04,10.76,45.28,-1.47,8.22,3.78,6.05,1.64,6.89,2.85
23,Florida,SEC,,8,5,5.46,5.29,10.75,50.14,1.12,10.92,4.41,6.30,2.15,8.28,3.16
24,Minnesota,Big Ten,,8,5,1.36,9.30,10.65,45.77,-1.00,9.14,4.31,5.18,1.91,7.11,3.09
25,Illinois,Big Ten,16,10,3,5.89,4.74,10.63,48.06,4.97,9.88,4.68,6.04,3.00,7.70,3.92
26,Boise State,MWC,8,12,2,7.98,2.53,10.50,50.67,8.28,9.23,5.88,6.93,2.72,7.92,4.31
27,Texas A&M,SEC,,8,5,5.62,4.87,10.49,50.95,2.22,9.70,4.82,6.44,2.35,7.79,3.56
28,Kansas State,Big 12,,9,4,6.61,3.39,10.01,48.37,6.28,8.98,4.97,7.28,2.23,8.07,3.58
29,Virginia Tech,ACC,,6,7,4.17,5.67,9.84,47.25,2.78,9.20,5.15,6.09,2.56,7.35,3.68
30,Missouri,SEC,22,10,3,1.61,7.57,9.18,48.13,1.53,9.07,5.14,5.71,2.60,7.20,3.80
31,Nebraska,Big Ten,,7,6,-0.11,8.89,8.79,42.22,0.89,8.92,5.23,5.29,2.11,7.04,3.66
32,Colorado,Big 12,25,9,4,5.40,3.20,8.60,49.43,6.48,10.25,4.85,3.70,2.28,7.49,3.34
33,Army,American,21,12,2,0.19,8.14,8.33,42.72,3.13,10.82,5.03,6.59,3.04,7.23,4.24
34,Baylor,Big 12,,8,5,8.04,0.00,8.04,51.70,9.96,10.05,5.83,6.02,2.98,7.88,4.19
35,Navy,American,,10,3,4.57,3.34,7.91,46.19,8.16,10.94,5.26,6.65,2.96,7.70,4.22
