,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
36,Nevada-Las Vegas,MWC,23,11,3,4.68,2.79,7.48,48.70,7.92,9.33,4.87,6.48,2.51,7.46,3.70
37,Syracuse,ACC,20,10,3,9.40,-2.04,7.36,50.40,11.40,9.77,5.47,4.55,3.63,7.58,4.63
38,Texas Christian,Big 12,,9,4,5.99,0.50,6.49,49.13,8.29,9.93,4.13,4.93,2.80,7.66,3.36
39,Kansas,Big 12,,5,7,4.64,1.64,6.28,48.27,7.17,10.32,5.84,7.10,3.15,8.41,4.39
40,Rutgers,Big Ten,,7,6,5.42,0.62,6.05,48.61,9.50,8.95,5.19,6.02,3.99,7.25,4.56
41,Oklahoma,SEC,,6,7,0.93,4.93,5.85,46.42,1.55,8.54,4.70,5.74,1.68,6.88,3.07
42,Vanderbilt,SEC,,7,6,3.12,2.71,5.84,48.06,3.78,9.63,5.76,5.46,2.83,7.12,4.24
43,Georgia Tech,ACC,,7,6,3.24,2.54,5.78,47.14,5.83,9.40,5.19,6.30,2.70,7.72,3.89
44,Tulane,American,,9,5,1.01,4.72,5.73,49.44,5.88,10.78,4.42,6.05,3.06,7.73,3.85
45,Ohio,MAC,,11,3,-0.50,5.86,5.37,40.21,6.34,8.90,5.63,5.90,2.32,7.11,3.93
46,Arkansas,SEC,,7,6,3.29,1.95,5.24,49.81,5.40,10.66,5.50,6.45,2.36,8.35,3.79
47,Washington,Big Ten,,6,7,0.44,4.76,5.20,43.31,3.87,10.37,3.61,5.50,3.06,7.83,3.32
48,Boston College,ACC,,7,6,2.81,2.21,5.02,46.29,6.93,9.49,5.44,5.63,2.58,7.11,4.02
49,Marshall,Sun Belt (East),,10,3,2.90,1.88,4.78,44.81,9.81,8.37,5.35,5.98,3.33,7.01,4.18
50,Memphis,American,24,11,2,5.04,-0.56,4.48,46.88,11.08,8.53,5.74,6.13,2.92,7.32,4.60
51,Auburn,SEC,,5,7,-0.40,4.86,4.47,47.33,3.10,10.55,5.29,6.41,1.57,8.38,3.25
52,Wisconsin,Big Ten,,5,7,-1.84,5.50,3.67,42.21,4.44,8.51,4.63,5.80,3.06,7.04,3.75
53,Duke,ACC,,9,4,1.81,1.75,3.56,42.52,7.33,8.49,4.54,4.49,2.56,6.67,3.40
54,UCLA,Big Ten,,5,7,-0.69,4.15,3.46,41.34,4.35,10.02,4.80,4.77,1.90,7.46,3.49
55,Pitt,ACC,,7,6,4.92,-1.88,3.04,48.45,11.48,8.39,5.48,5.68,1.93,7.13,3.69
56,Miami (OH),MAC,,9,5,-3.07,5.80,2.72,38.03,6.73,9.07,4.74,5.57,2.96,7.32,3.82
57,Kentucky,SEC,,4,8,-2.57,5.12,2.55,42.94,1.64,9.30,5.32,5.93,2.95,7.30,3.84
58,Texas Tech,Big 12,,8,5,9.91,-7.37,2.55,52.82,16.65,8.73,6.29,5.68,3.23,7.30,4.74
59,Texas State,Sun Belt (West),,8,5,3.99,-1.55,2.43,47.43,12.40,9.31,5.69,5.97,2.83,7.46,4.15
60,James Madison,Sun Belt (East),,9,4,0.20,2.12,2.32,42.55,9.27,8.22,5.08,5.25,2.70,6.59,3.87
61,Cincinnati,Big 12,,5,7,-0.23,2.44,2.21,42.16,6.46,9.14,5.80,6.80,3.43,7.90,4.42
62,UCF,Big 12,,4,8,2.71,-0.63,2.08,48.88,10.33,9.82,5.02,7.18,2.40,8.27,3.58
63,Utah,Big 12,,5,7,-3.60,5.23,1.63,39.33,3.22,8.62,4.31,5.12,2.67,6.80,3.37
64,Bowling Green,MAC,,7,6,-0.09,1.60,1.51,38.82,9.67,8.64,5.38,4.99,3.39,6.84,4.27
65,Northern Illinois,MAC,,8,5,-3.84,4.91,1.07,35.90,5.96,7.60,4.84,5.47,2.74,6.39,3.66
66,California,ACC,,6,7,-2.27,3.33,1.06,39.80,5.39,8.89,4.89,4.84,2.17,6.85,3.52
67,Louisiana,Sun Belt (West),,10,4,1.40,-0.41,0.99,41.96,11.74,9.73,4.96,5.50,3.66,7.48,4.33
68,North Carolina,ACC,,6,7,4.73,-3.83,0.90,46.97,13.30,9.24,6.42,6.16,3.04,7.49,4.46
69,West Virginia,Big 12,,6,7,3.29,-2.62,0.66,45.44,12.95,9.00,7.30,6.07,2.45,7.27,4.65
70,South Alabama,Sun Belt (West),,7,6,1.16,-0.60,0.57,45.59,12.45,9.11,6.12,6.44,3.05,7.69,4.54
71,Georgia Southern,Sun Belt (East),,8,5,1.82,-1.36,0.46,41.58,13.19,8.23,6.19,4.75,3.66,6.50,4.94
72,Toledo,MAC,,8,5,0.80,-0.51,0.29,40.80,12.11,8.51,5.24,4.33,2.98,6.52,3.93
73,Connecticut,Ind,,9,4,-1.56,1.53,-0.03,42.50,10.70,8.02,5.34,5.85,3.07,6.79,4.08
74,Old Dominion,Sun Belt (East),,5,7,1.67,-1.80,-0.13,42.76,12.34,8.39,6.15,6.27,3.14,7.18,4.44
75,Washington State,Ind,,8,5,5.76,-5.99,-0.23,47.21,16.51,10.39,5.89,5.31,4.36,7.60,5.06
76,Michigan State,Big Ten,,5,7,-3.74,3.27,-0.46,38.48,6.70,9.64,5.17,5.10,2.13,7.18,3.60
77,Maryland,Big Ten,,4,8,1.15,-1.89,-0.74,44.33,11.45,8.99,5.55,5.24,2.36,7.26,3.91
78,North Carolina State,ACC,,6,7,3.41,-4.31,-0.90,45.13,14.69,9.67,5.67,5.86,3.93,7.66,4.75
79,Buffalo,MAC,,9,4,-0.33,-0.64,-0.97,39.24,15.84,7.88,6.39,4.84,3.41,6.14,4.84
80,Virginia,ACC,,5,7,-1.48,0.40,-1.08,39.92,8.69,8.73,6.26,5.22,2.56,6.87,4.35
81,UTSA,American,,7,6,3.29,-4.85,-1.57,44.34,17.69,8.65,7.07,5.41,1.94,6.95,4.46
82,Northwestern,Big Ten,,4,8,-3.35,1.63,-1.72,38.16,8.66,8.18,5.05,5.01,2.62,6.59,3.86
83,Jacksonville State,CUSA,,9,5,2.98,-5.23,-2.25,46.69,17.92,9.61,6.39,5.98,3.86,7.34,4.82
84,East Carolina,American,,8,5,0.63,-3.08,-2.45,41.60,15.11,8.99,5.64,5.53,2.83,7.13,4.21
85,South Florida,American,,7,6,1.07,-3.62,-2.55,43.76,15.26,8.25,5.87,5.71,2.86,6.81,4.37
86,Sam Houston,CUSA,,10,3,-4.24,1.63,-2.62,34.40,10.62,7.66,4.69,4.90,3.36,6.09,3.92
87,Houston,Big 12,,4,8,-8.76,6.01,-2.75,33.95,4.45,8.85,4.89,5.29,2.22,6.76,3.38
88,Mississippi State,SEC,,2,10,2.41,-5.55,-3.14,47.43,13.02,10.09,5.94,5.82,3.54,7.80,4.43
89,Wake Forest,ACC,,4,8,0.94,-4.39,-3.45,42.35,14.64,8.92,5.35,4.88,3.29,6.78,4.35
90,Western Kentucky,CUSA,,8,6,-4.29,0.45,-3.85,35.73,14.26,9.22,6.60,4.22,4.43,6.86,5.15
91,Fresno State,MWC,,6,7,-3.28,-0.59,-3.87,38.67,13.51,8.87,4.66,4.25,2.84,6.62,3.80
92,Western Michigan,MAC,,6,7,1.90,-5.98,-4.08,41.30,19.36,8.75,7.33,5.79,4.21,7.04,5.43
93,North Texas,American,,6,7,4.57,-8.66,-4.09,44.76,20.25,8.82,6.59,6.44,3.52,7.70,4.99
94,Stanford,ACC,,3,9,-1.79,-2.61,-4.40,40.55,13.73,8.36,6.45,5.08,2.97,6.53,4.64
95,Colorado State,MWC,,8,5,-3.98,-0.49,-4.48,35.89,13.88,8.81,5.62,5.54,3.75,7.04,4.63
96,Appalachian State,Sun Belt (East),,5,6,-0.50,-4.33,-4.82,39.62,18.14,9.12,7.12,5.24,4.02,7.16,5.25
97,San Jose State,MWC,,7,6,0.97,-5.85,-4.88,40.27,16.42,8.90,5.65,4.27,2.63,7.06,4.11
98,Arizona,Big 12,,4,8,-4.17,-0.81,-4.97,37.72,13.86,8.68,6.20,5.32,3.45,7.18,4.62
99,Oklahoma State,Big 12,,3,9,0.45,-5.43,-4.98,42.91,16.90,8.66,6.45,5.26,4.21,7.13,5.15
100,Florida State,ACC,,2,10,-8.57,3.43,-5.14,34.66,7.13,8.25,5.33,4.48,3.04,6.24,3.92
101,Oregon State,Ind,,5,7,-2.08,-3.39,-5.47,37.70,16.55,8.23,6.31,5.69,4.28,6.77,5.20
102,Arkansas State,Sun Belt (West),,8,5,-0.72,-5.33,-6.06,38.01,19.87,8.05,7.12,5.04,4.65,6.46,5.76
103,Liberty,CUSA,,8,4,-1.85,-4.27,-6.12,35.77,15.94,7.89,6.39,5.87,3.69,6.75,4.75
104,Coastal Carolina,Sun Belt (East),,6,7,-0.01,-6.22,-6.23,40.24,18.68,8.43,6.36,5.55,3.83,6.79,4.90
105,Purdue,Big Ten,,1,11,-5.99,-0.45,-6.43,38.01,20.27,9.18,6.89,5.79,3.52,7.37,4.92
106,Louisiana-Monroe,Sun Belt (West),,5,7,-4.88,-1.56,-6.45,34.67,14.35,8.13,5.14,5.54,3.76,6.48,4.27
107,Akron,MAC,,4,8,-4.16,-3.06,-7.23,35.41,18.45,8.07,6.67,4.58,3.77,6.51,5.01
108,Rice,American,,4,8,-6.32,-1.56,-7.88,36.33,11.65,7.73,4.72,5.77,2.85,6.79,3.83
109,Troy,Sun Belt (West),,4,8,-2.67,-5.26,-7.93,37.78,15.52,8.86,6.73,4.94,3.14,6.65,4.79
110,Hawaii,MWC,,5,7,-7.16,-0.78,-7.94,32.41,13.51,8.06,5.54,4.17,3.58,6.33,4.49
111,Nevada,MWC,,3,10,-2.88,-5.54,-8.43,37.62,15.54,9.16,5.91,5.82,4.22,7.24,4.91
112,Eastern Michigan,MAC,,5,7,-2.40,-6.11,-8.51,36.21,17.17,7.98,7.36,4.22,3.75,6.06,5.24
113,Charlotte,American,,5,7,-2.00,-6.58,-8.58,37.62,18.97,9.47,6.03,4.86,3.83,6.93,4.87
114,Air Force,MWC,,5,7,-9.63,0.87,-8.76,30.50,11.48,9.18,6.18,4.69,3.47,5.61,4.71
115,Utah State,MWC,,4,8,2.55,-11.73,-9.18,44.36,25.30,8.60,6.49,6.36,4.31,7.43,5.28
116,UAB,American,,3,9,-2.93,-6.45,-9.39,39.56,20.18,8.60,5.05,5.10,3.66,6.83,4.42
117,Georgia State,Sun Belt (East),,3,9,-2.41,-7.69,-10.10,37.35,18.94,8.07,6.49,5.29,4.06,6.81,5.05
118,Central Michigan,MAC,,4,8,-6.11,-4.55,-10.66,35.20,18.89,7.83,5.87,5.31,3.96,6.37,4.70
119,Louisiana Tech,CUSA,,5,8,-9.87,-0.87,-10.74,29.46,11.88,8.01,4.79,3.36,3.00,5.56,3.81
120,Ball State,MAC,,3,9,0.42,-11.43,-11.01,38.80,27.43,8.09,7.66,4.26,4.25,6.32,5.94
121,Wyoming,MWC,,3,9,-9.45,-1.89,-11.34,30.23,13.90,7.86,6.00,4.41,4.19,5.88,5.05
122,Florida Atlantic,American,,3,9,-5.87,-6.02,-11.89,35.95,18.46,8.38,5.94,5.99,3.98,6.95,4.97
123,Florida International,CUSA,,4,8,-4.68,-7.64,-12.32,35.03,17.53,9.48,5.13,4.17,4.14,6.67,4.57
124,New Mexico,MWC,,5,7,5.38,-17.75,-12.37,44.10,28.68,8.39,7.18,7.33,4.76,7.83,5.88
125,Massachusetts,Ind,,2,10,-3.25,-9.85,-13.10,36.82,23.07,8.12,6.76,5.12,4.38,6.40,5.20
126,Temple,American,,3,9,-8.17,-5.00,-13.16,31.87,19.54,7.66,5.12,4.04,3.95,5.81,4.65
127,San Diego State,MWC,,3,9,-7.64,-6.40,-14.03,32.16,17.50,7.83,6.17,4.26,3.73,5.92,4.81
128,Tulsa,American,,3,9,-4.44,-12.90,-17.34,34.83,30.92,7.82,8.34,4.86,3.95,6.23,6.07
129,UTEP,CUSA,,3,9,-8.20,-9.83,-18.02,31.18,24.62,7.97,6.66,3.97,3.90,5.86,4.95
130,New Mexico State,CUSA,,3,9,-8.17,-10.37,-18.55,31.15,26.69,6.64,6.65,4.92,4.54,5.72,5.44
131,Southern Mississippi,Sun Belt (West),,1,11,-12.05,-7.30,-19.34,28.25,23.57,7.98,6.69,4.07,4.67,5.81,5.56
132,Kennesaw State,CUSA,,2,10,-12.56,-7.80,-20.36,25.95,22.20,6.69,6.57,3.74,4.28,5.01,5.16
133,Middle Tennessee State,CUSA,,3,9,-10.66,-9.77,-20.42,28.91,24.12,8.65,7.59,3.95,4.65,6.60,5.82
134,Kent State,MAC,,0,12,-11.59,-9.34,-20.93,27.98,30.11,7.64,7.40,3.56,4.93,5.32,5.83
